SrNo,Description,Self,Spouse,HUF,Dependent1,Dependent2,Dependent3,TotalPrice
i,Loans due to Individual / Entity,"Abhijit Mahavir Patil
90,000  90 Thou+

Kallappa Baburao Avade
15,64,039  15 Lacs+

Prakash Kallappa Avade HUF
41,87,134  41 Lacs+

Ravi Uttam Avade
31,45,949  31 Lacs+

Uttam Kallappa Avade
1,08,11,810  1 Crore+

Uttam Kallappa Avade HUF
13,37,441  13 Lacs+

Indumati Kallappa Avade
3,07,000  3 Lacs+

Kumidini Mahavir Patil
8,13,500  8 Lacs+

Mouhsmi Rahul Avade
7,61,175  7 Lacs+

Sapna Uttam Avade
13,93,500  13 Lacs+

Vaishali Swapnil Avade
601  6 Hund+

Rohit Uttam Avade
1,36,000  1 Lacs+

Kishori Prakash Avade
12,51,141  12 Lacs+

Avade Enterprises
8,86,753  8 Lacs+

Balaji Enterprises
55,82,022  55 Lacs+

Mahavir Stone Crusher
1,700  1 Thou+

Badke Suppliers
5,04,000  5 Lacs+

Gotkhinde Suppliers
3,70,000  3 Lacs+

Kadam Suppliers
3,29,000  3 Lacs+

Kalavant Suppliers
3,00,000  3 Lacs+

Mahadev Traders
5,74,000  5 Lacs+

Pujari Suppliers
5,88,000  5 Lacs+

Sanjay Traders
5,96,000  5 Lacs+

Swagatkumar Suppliers
3,07,000  3 Lacs+

Shri Siddhivinayak Sales Corporation
21,090  21 Thou+

Shri Samarth Enterprises
4,010  4 Thou+","Kishori Textiles
12,10,469  12 Lacs+

Balaji Enterprises
8,09,276  8 Lacs+

Laxmi Textiles
2,000  2 Thou+

Mahavir Stone Crusher
31,000  31 Thou+

Prakash Kallappa Avade HUF
3,23,250  3 Lacs+

Ravi Uttam Avade
4,71,023  4 Lacs+

Uttam Kallappa Avade HUF
7,48,267  7 Lacs+

Uttam Kallappa Avade
5,88,101  5 Lacs+

Badke Suppliers
6,69,000  6 Lacs+

Kumidini Mahavir Patil
5,000  5 Thou+

Jawahar Shetkari Sahakari Sugar Factory
1,14,826  1 Lacs+

Ichalkaranji Garment Clustor Limited
4,00,040  4 Lacs+

Kallappa Baburao Avade HUF
25,300  25 Thou+","Rahul Prakash Avade
89,500  89 Thou+

Uttam Kallappa Avade
97,181  97 Thou+

Indumati Kallappa Avade
73,014  73 Thou+

Kumudini Mahavir Patil
69,700  69 Thou+

Sapna Uttam Avade
11,425  11 Thou+

Jawahar Shetkari Sahakari Sugar Factory
89,219  89 Thou+

Bhumata Sheti Vikas Kendra
8,930  8 Thou+",Nil,Nil,Nil, 41699386
ii,Any other Liability,"Avade Enterprises Avade Janata Bank 27.5% Part
3,36,057  3 Lacs+","Jagdishchand Jain
65,456  65 Thou+

Kumidini Textiles (Laxmi Estate)
5,45,991  5 Lacs+

Rohit Textiles
17,99,423  17 Lacs+

Vaishali Textiles
9,03,476  9 Lacs+

Creativity International
50,000  50 Thou+

Laxmi Packaging
9,268  9 Thou+

Business
4,42,893  4 Lacs+

Dipak Dattatray Patil
1,00,000  1 Lacs+

Business
17,36,490  17 Lacs+

Audit Fee Kale CHougule And Thigle And Company
40,632  40 Thou+",Nil,Nil,Nil,Nil, 6029686
iii,Grand Total of Liabilities (as per affidavit),"4,19,94,582  4 Crore+","1,34,76,973  1 Crore+","4,38,969  4 Lacs+",Nil,Nil,Nil, 55910524
iv,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,0
v,Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,0
vi,Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,0
vii,Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,0
viii,Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,0
ix,Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
x,Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xi,Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xii,Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xiii,Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xiv,GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xv,Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xvi,Grand Total of all Govt Dues (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,0
xvii,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,0
xviii,Totals (Calculated as Sum of Values),"Rs 4,19,94,582
4 Crore+","Rs 1,34,76,973
1 Crore+","Rs 4,38,969
4 Lacs+",Nil,Nil,Nil, 55910524
