SrNo,Description,Self,Spouse,HUF,Dependent1,Dependent2,Dependent3,TotalPrice
i,Loans due to Individual / Entity,"Bharti Buillon And Construction
24,60,000  24 Lacs+

Dinesh Agrawal
10,00,000  10 Lacs+

Gyandev Builders
5,00,000  5 Lacs+

Raj Infra
5,00,000  5 Lacs+

Balaji Kinikar HUF
4,30,000  4 Lacs+

Rajesh Chabria
10,00,000  10 Lacs+","Kinikar Balaji Pralhad
4,07,916  4 Lacs+

Balaji Kinikar
1,30,000  1 Lacs+

Bharti Buillon And Construction
13,33,000  13 Lacs+

Mahendra Jain
9,30,000  9 Lacs+

Milind Datar
5,00,000  5 Lacs+",Nil,Nil,Nil,Nil, 9190916
ii,Any other Liability,Nil,Nil,Nil,Nil,Nil,Nil,0
iii,Grand Total of Liabilities (as per affidavit),"1,26,29,489  1 Crore+","37,69,178  37 Lacs+",0,Nil,Nil,Nil, 16398667
iv,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,0
v,Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,0
vi,Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,0
vii,Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,0
viii,Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,0
ix,Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
x,Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xi,Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xii,Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xiii,Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xiv,GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xv,Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xvi,Grand Total of all Govt Dues (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,0
xvii,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,0
xviii,Totals (Calculated as Sum of Values),"Rs 1,26,94,641
1 Crore+","Rs 37,69,178
37 Lacs+",Nil,Nil,Nil,Nil, 16463819
