SrNo,Description,Self,Spouse,HUF,Dependent1,Dependent2,Dependent3,TotalPrice
i,Loans due to Individual / Entity,"Unsecured Loan - Amirali G Patel
9,07,500  9 Lacs+

Unsecured Loan - Asif Sultanali Merchant
31,50,000  31 Lacs+

Unsecured Loan - Daulat A Patel
14,25,000  14 Lacs+

Unsecured Loan - Pioneer India Developers Ltd
75,00,000  75 Lacs+

Unsecured Loan - Yasmin A Patel
32,49,855.70  32 Lacs+

Unsecured Loan - Kais Patel
23,00,000  23 Lacs+

Unsecured Loan - Seemen Patel
32,74,677.70  32 Lacs+","Unsecured Loan - Amirali G Patel
12,84,240  12 Lacs+

Unsecured Loan - Saleh N. Mithiborwala
1,73,488  1 Lacs+

Unsecured Loan - Habib G Merchant
5,00,000  5 Lacs+",Nil,Nil,Nil,Nil, 23764761.40
ii,Any other Liability,"Finesse International Design Pvt Ltd
15,00,000  15 Lacs+

Infinity Retail Ltd
7,97,752  7 Lacs+

D D Corporation
1,75,000  1 Lacs+

Grace Property (India) Pvt Ltd
1,90,00,000  1 Crore+

Mission Vission Broking (I) Pvt Ltd
12,75,000  12 Lacs+

Sky High Realtors & Developers
5,00,000  5 Lacs+

Alam A Patel
2,20,000  2 Lacs+","Finesse International Design Pvt Ltd
15,00,000  15 Lacs+

Infinity Retail Ltd
5,25,087  5 Lacs+

Manoj Thakur
5,00,000  5 Lacs+

Grace Property (India) Pvt Ltd
40,00,000  40 Lacs+",Nil,Nil,Nil,Nil, 29992839
iii,Grand Total of Liabilities (as per affidavit),"6,50,42,979.62  6 Crore+","1,83,10,278  1 Crore+",Nil,Nil,Nil,Nil, 83353257.62
iv,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,0
v,Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,0
vi,Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,0
vii,Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,0
viii,Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,0
ix,Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
x,Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xi,Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xii,Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xiii,Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xiv,GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xv,Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xvi,Grand Total of all Govt Dues (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,0
xvii,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,0
xviii,Totals (Calculated as Sum of Values),"Rs 6,50,42,979.62
6 Crore+","Rs 1,83,10,278
1 Crore+",Nil,Nil,Nil,Nil, 83353257.62
