SrNo,Description,Self,Spouse,HUF,Dependent1,Dependent2,Dependent3,TotalPrice
i,Loans due to Individual / Entity,"Kundan Goods Pvt Ltd
57,00,000  57 Lacs+

Lila Ventors
47,00,000  47 Lacs+

To Mercantile Pvt Ltd
9,89,83,217  9 Crore+

Vijay Ratnakar Gutte
12,51,466  12 Lacs+

Viresh Khandelwal
27,98,159  27 Lacs+

Yashodip Infrastructure
6,56,700  6 Lacs+

Yash Trading
1,70,00,000  1 Crore+

Sudamati Gutte
4,22,28,408  4 Crore+

RSV And Asso.
23,92,241  23 Lacs+","Kundan Goods Pvt Ltd
62,40,000  62 Lacs+

RM Gutte HUF
5,80,038  5 Lacs+

Amrut Nahar
1,47,90,000  1 Crore+

Sachin Nahar
1,43,50,650  1 Crore+

Surekha Nahar
1,43,55,000  1 Crore+

To Mercantile Pvt Ltd
6,47,22,427  6 Crore+","Sunil Gutte
3,15,000  3 Lacs+

RM Gutte
96,59,539  96 Lacs+",Nil,Nil,Nil, 300722845
ii,Any other Liability,Nil,Nil,Nil,Nil,Nil,Nil,0
iii,Grand Total of Liabilities (as per affidavit),"19,34,89,155  19 Crore+","12,20,34,839  12 Crore+","99,74,539  99 Lacs+",Nil,Nil,Nil, 325498533
iv,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,0
v,Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,0
vi,Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,0
vii,Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,0
viii,Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,0
ix,Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
x,Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xi,Service Tax Dues,Nil,"20,86,440  20 Lacs+",Nil,Nil,Nil,Nil, 2086440
xii,Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xiii,Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xiv,GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xv,Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xvi,Grand Total of all Govt Dues (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,0
xvii,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,0
xviii,Totals (Calculated as Sum of Values),"Rs 19,34,89,156
19 Crore+","Rs 12,41,21,279
12 Crore+","Rs 99,74,539
99 Lacs+",Nil,Nil,Nil, 327584974
