SrNo,Description,Self,Spouse,HUF,Dependent1,Dependent2,Dependent3,TotalPrice
i,Loans due to Individual / Entity,"Sonaji matkar
5,25,000  5 Lacs+

Shaam pawar
79,200  79 Thou+

Pramilabai pawar
75,000  75 Thou+",Nil,"Laxman pawar
23,26,713  23 Lacs+

Shaam pawar
1,12,880  1 Lacs+

pramilabai pawar
9,61,109  9 Lacs+",Nil,Nil,Nil, 4079902
ii,Any other Liability,Nil,Nil,"shop price
51,60,000  51 Lacs+",Nil,Nil,Nil, 5160000
iii,Grand Total of Liabilities (as per affidavit),"11,75,160  11 Lacs+",Nil,"85,60,702  85 Lacs+",Nil,Nil,Nil, 9735862
iv,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,0
v,Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,0
vi,Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,0
vii,Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,0
viii,Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,0
ix,Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
x,Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xi,Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xii,Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xiii,Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xiv,GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xv,Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xvi,Grand Total of all Govt Dues (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,0
xvii,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,0
xviii,Totals (Calculated as Sum of Values),"Rs 11,75,160
11 Lacs+",Nil,"Rs 85,60,702
85 Lacs+",Nil,Nil,Nil, 9735862
