SrNo,Description,Self,Spouse,HUF,Dependent1,Dependent2,Dependent3,TotalPrice
i,Loans due to Individual / Entity,Nil,Nil,Nil,Nil,Nil,Nil,0
ii,Any other Liability,"Dr Shaikh
1,00,000  1 Lacs+

M K Bhansali
1,00,000  1 Lacs+

Rajendra Kute
2,00,000  2 Lacs+

R P Gotecha
2,00,000  2 Lacs+

Shreeram Kute
1,50,000  1 Lacs+

Vishal Karval
1,00,000  1 Lacs+","Gajanan Gining & Pressing
2,00,000  2 Lacs+

Shree Ghanokar
2,00,000  2 Lacs+

Aarti Palan
2,00,000  2 Lacs+

Narayanrao Tikar
1,00,000  1 Lacs+

Pramod Kute
5,00,000  5 Lacs+

Sanjay Kute
36,50,000  36 Lacs+

Shreeram Kute
3,20,000  3 Lacs+

Vijay Patil
5,00,000  5 Lacs+

Plot Chandrakant Wagh Gajanan Kakad Santosh Kakad
25,00,000  25 Lacs+

Sohan Gai Shreekrush Bhelke Someshwar Raut
25,00,000  25 Lacs+

Dilip Rathi Walmikrao Thakare
15,00,000  15 Lacs+

Yogesh Tikar
10,00,000  10 Lacs+",Nil,"Sanjay Shriram Kutte
16,00,000  16 Lacs+",Nil,Nil, 15620000
iii,Grand Total of Liabilities (as per affidavit),"30,56,618  30 Lacs+","1,31,70,000  1 Crore+",Nil,"16,00,000  16 Lacs+",Nil,Nil, 17826618
iv,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,0
v,Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,0
vi,Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,0
vii,Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,0
viii,Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,0
ix,Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
x,Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xi,Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xii,Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xiii,Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xiv,GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xv,Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xvi,Grand Total of all Govt Dues (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,0
xvii,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,0
xviii,Totals (Calculated as Sum of Values),"Rs 30,56,618
30 Lacs+","Rs 1,31,70,000
1 Crore+",Nil,"Rs 16,00,000
16 Lacs+",Nil,Nil, 17826618
