SrNo,Description,Self,Spouse,HUF,Dependent1,Dependent2,Dependent3,TotalPrice
i,Loans due to Individual / Entity,"Laxmi Dairy Production
6,49,999  6 Lacs+

Abhijit Raut
11,17,833  11 Lacs+

Harshad Katkar
8,60,000  8 Lacs+

Sanjay Raut
64,67,333  64 Lacs+

Kavita Raur
2,40,67,300  2 Crore+

Amitkumar Khatod
1,52,000  1 Lacs+

Vijay Raut
1,01,53,464  1 Crore+

Laxmi Pashukhadya Kendra
73,15,000  73 Lacs+",Nil,Nil,Nil,Nil,Nil, 50782929
ii,Any other Liability,"Laxmi Pashukhadya
49,92,313  49 Lacs+

Kiran Gaikwad
48,00,000  48 Lacs+

Kiran More
5,67,000  5 Lacs+

Sachin Madke
9,68,593  9 Lacs+

Laxmi Dairy Production
90,77,673  90 Lacs+

Bhartesh Gandhi
14,00,000  14 Lacs+","Laxmi Dairy Production
13,70,000  13 Lacs+

Laxmi Pashukhadya
10,00,000  10 Lacs+

Ranvir Raut
6,25,000  6 Lacs+

Vijay Raut
10,87,500  10 Lacs+",Nil,Nil,Nil,Nil, 25888079
iii,Grand Total of Liabilities (as per affidavit),"14,67,60,051  14 Crore+","1,65,74,567  1 Crore+",Nil,Nil,Nil,Nil, 163334618
iv,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,0
v,Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,0
vi,Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,0
vii,Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,0
viii,Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,0
ix,Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
x,Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xi,Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xii,Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xiii,Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xiv,GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xv,Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xvi,Grand Total of all Govt Dues (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,0
xvii,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,0
xviii,Totals (Calculated as Sum of Values),"Rs 14,67,60,051
14 Crore+","Rs 1,65,74,567
1 Crore+",Nil,Nil,Nil,Nil, 163334618
