SrNo,Description,Self,Spouse,HUF,Dependent1,Dependent2,Dependent3,TotalPrice
i,Loans due to Individual / Entity,"Usha Prasad Tanpure
29,380  29 Thou+

Prasad Baburao Tanpure
10,07,247  10 Lacs+

Sonali Prajakt Tanpure
4,11,511  4 Lacs+

Subhash Lalasaheb Deshmukh
10,91,099  10 Lacs+

Sushil Subhash Deshmukh
15,64,529  15 Lacs+

Trimurti Engi Dhoki Osmanabad
54,00,000  54 Lacs+

Ashok Agency Rahuri Factroy
6,25,550  6 Lacs+

Arun DHimte
1,00,000  1 Lacs+

Vijay Mohan Mote
2,00,000  2 Lacs+

Leaf Cutter Sangli
78,00,000  78 Lacs+

Foot Growers Society
1,16,100  1 Lacs+","Prasad Baburao Tanpure
4,40,000  4 Lacs+

Subhash Deshmukh
7,90,000  7 Lacs+

Usha Prasad Tanpure
16,01,673  16 Lacs+",Nil,Nil,Nil,Nil, 21177089
ii,Any other Liability,Nil,Nil,Nil,Nil,Nil,Nil,0
iii,Grand Total of Liabilities (as per affidavit),"2,76,20,938  2 Crore+","28,31,673  28 Lacs+",Nil,Nil,Nil,Nil, 30452611
iv,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,0
v,Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,0
vi,Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,0
vii,Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,0
viii,Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,0
ix,Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
x,Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xi,Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xii,Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xiii,Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xiv,GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xv,Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xvi,Grand Total of all Govt Dues (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,0
xvii,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,0
xviii,Totals (Calculated as Sum of Values),"Rs 2,76,20,938
2 Crore+","Rs 28,31,673
28 Lacs+",Nil,Nil,Nil,Nil, 30452611
