SrNo,Description,Self,Spouse,HUF,Dependent1,Dependent2,Dependent3,TotalPrice
i,Cash,"85,77,000  85 Lacs+","14,77,000  14 Lacs+",Nil,Nil,Nil,Nil, 10054000
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","Dwarkadas Mantri Bank
25,000  25 Thou+

HDFC Bank
22,000  22 Thou+

SBI Bank
2,62,000  2 Lacs+

Shri Gajanan Bank
1,99,000  1 Lacs+

BDCC Bank
23,000  23 Thou+

IDBI Bank
6,000  6 Thou+","HDFC Bank
7,18,000  7 Lacs+

Shri Gajanan Bank
74,000  74 Thou+

Bank Of India
2,26,000  2 Lacs+",Nil,Nil,Nil,Nil, 1555000
iii,"Bonds, Debentures and Shares in companies","Gajanan Bank
5,000  5 Thou+

Mantri Bank Shares
4,42,000  4 Lacs+

Casona Powers Pvt Ltd
33,000  33 Thou+

Casona Sugars And Infrastructure Pvt Ltd
66,000  66 Thou+","Casona Sugars And Infrastructure Pvt Ltd
66,000  66 Thou+",Nil,Nil,Nil,Nil, 612000
iv,"(a)
NSS, Postal Savings etc","PPF
10,58,000  10 Lacs+","PPF
47,000  47 Thou+",Nil,Nil,Nil,Nil, 1105000
"(b)
LIC or other insurance Policies","Ayurvima
2,00,000  2 Lacs+","Ayurvima
4,50,000  4 Lacs+",Nil,Nil,Nil,Nil,"Rs 6,50,000
6 Lacs+",0
v,Personal loans/advance given,"Gajanan Builders CA
83,52,000  83 Lacs+

Utkala Kshirsagar
98,50,000  98 Lacs+

Gajanan Builders And Developers
13,15,000  13 Lacs+

Sagar Beer Shop
7,71,000  7 Lacs+

Rekha Kshirsagar
23,81,000  23 Lacs+

Nityaseva Hospital Pvt Ltd
10,00,000  10 Lacs+",Nil,Nil,Nil,Nil,Nil, 23669000
vi,"Motor Vehicles (details of make, etc.)","Pajero Mitsubishi MH23U500
22,00,000  22 Lacs+",Nil,Nil,Nil,Nil,Nil, 2200000
vii,Jewellery (give details weight value),Nil,"100 Gram Gold
10,00,000  10 Lacs+

162 Gram
4,88,000  4 Lacs+",Nil,Nil,Nil,Nil, 1488000
viii,"Other assets, such as values of claims / interests",Nil,Nil,Nil,Nil,Nil,Nil,0
x,Gross Total Value (as per Affidavit),"3,67,87,000  3 Crore+","45,46,000  45 Lacs+",Nil,Nil,Nil,Nil, 41333000
xi,Totals (Calculated as Sum of Values),"Rs 3,67,87,000
3 Crore+","Rs 45,46,000
45 Lacs+",Nil,Nil,Nil,Nil, 41333000
