SrNo,Description,Self,Spouse,HUF,Dependent1,Dependent2,Dependent3,TotalPrice
i,Cash,"CASH
95,000  95 Thou+","CASH
40,000  40 Thou+",Nil,Nil,Nil,Nil, 135000
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","SBI BANK RAJURA SB
4,07,764.57  4 Lacs+

SBI BANK MUMBAI SB
1,99,845  1 Lacs+

MS CO OP BANK LTD MUMBAI
3,25,550.54  3 Lacs+

CDCC BANK RAJURA
1,44,633.95  1 Lacs+

BOM RAJURA SB
10,000  10 Thou+

SBI BANK RAJURA SB
7,20,965.21  7 Lacs+

SBI BANK RAJURA SB
1,35,040  1 Lacs+

FD RAJURA NAGARI PAT
9,95,800  9 Lacs+

FD SBI BANK RAJURA
6,63,768  6 Lacs+

FD SBI BANK RAJURA
6,61,969  6 Lacs+","SBI BANK RAJURA SB
6,04,785.78  6 Lacs+

RAJURA NAGARI PAT
83,842  83 Thou+

CDCC BANK RAJURA
58,555  58 Thou+

FD SBI BANK RAJURA
4,91,076  4 Lacs+

FD SBI BANK RAJURA
6,56,463  6 Lacs+

FD SBI BANK RAJURA
6,56,463  6 Lacs+

RAJURA NAGARI PAT
9,66,990  9 Lacs+","SBI BANK RAJURA
1,73,963.10  1 Lacs+",Nil,Nil,Nil, 7957474.15
iii,"Bonds, Debentures and Shares in companies","SHARES RAJURA NAGARI PAT
1,200  1 Thou+

SHARES AXIS BANK
71,976  71 Thou+

SHARES HDFC BANK
47,879  47 Thou+",Nil,Nil,Nil,Nil,Nil, 121055
iv,"(a)
NSS, Postal Savings etc",Nil,Nil,Nil,Nil,Nil,Nil,0
"(b)
LIC or other insurance Policies",Nil,Nil,Nil,Nil,Nil,Nil,Nil,0
v,Personal loans/advance given,Nil,Nil,Nil,Nil,Nil,Nil,0
vi,"Motor Vehicles (details of make, etc.)","HONDA ACTIVA H 34 T 9709 YEAR 2002
35,000  35 Thou+",Nil,Nil,Nil,Nil,Nil, 35000
vii,Jewellery (give details weight value),"GOLD 110 GMS
3,96,000  3 Lacs+","GOLD 305 GMS
10,98,000  10 Lacs+",Nil,Nil,Nil,Nil, 1494000
viii,"Other assets, such as values of claims / interests",Nil,Nil,Nil,Nil,Nil,Nil,0
x,Gross Total Value (as per Affidavit),"49,12,391.27  49 Lacs+","46,16,174.78  46 Lacs+","1,73,963.10  1 Lacs+",Nil,Nil,Nil, 9702529.15
xi,Totals (Calculated as Sum of Values),"Rs 49,12,391.27
49 Lacs+","Rs 46,56,174.78
46 Lacs+","Rs 1,73,963.10
1 Lacs+",Nil,Nil,Nil, 9742529.15
