SrNo,Description,Self,Spouse,HUF,Dependent1,Dependent2,Dependent3,TotalPrice
i,Cash,"4,25,000  4 Lacs+","2,25,000  2 Lacs+",Nil,Nil,Nil,Nil, 650000
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","PNB Bank
17,750  17 Thou+

HDFC Bank
26,356  26 Thou+

Axis bank
9,21,407  9 Lacs+

ICICI Bank
0  

SBI Bank
0  

Pusad Urban Co.op bank
1,656  1 Thou+

Bharti Maind Patsanstha
52,948  52 Thou+

Bharti Maind Patsanstha
1,07,051  1 Lacs+

HDFC Bank
1,62,838  1 Lacs+","HDFC Bank
3,23,461  3 Lacs+

ICICI Bank
0  

SBI Bank
0",Nil,Nil,Nil,Nil, 1613467
iii,"Bonds, Debentures and Shares in companies","Sutgirni ltd. pipalgaon 2 shares
2,000  2 Thou+

Sheshrao Patil Pressing 10 shares
100  1 Hund+

Bharti Maind Patsanstha 1 share
1,76,000  1 Lacs+

Jaiprakash power 200 shares
350  3 Hund+

Reliance power 261 shares
744  7 Hund+

Vasant Sahkari Sakhar Karkhana 1 share
10,000  10 Thou+","Sheshrao Patil Pressing 10 shares
100  1 Hund+",Nil,Nil,Nil,Nil, 189294
iv,"(a)
NSS, Postal Savings etc",Nil,Nil,Nil,Nil,Nil,Nil,0
"(b)
LIC or other insurance Policies","HDFC
5,00,000  5 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 5,00,000
5 Lacs+",0
v,Personal loans/advance given,"Mohini Indranil naik
12,00,000  12 Lacs+

Annapuranabai
5,00,000  5 Lacs+

Mansuri M. Afzal
2,00,000  2 Lacs+","Kamlaben
32,00,000  32 Lacs+",Nil,Nil,Nil,Nil, 5100000
vi,"Motor Vehicles (details of make, etc.)","Hundai Motors
16,50,000  16 Lacs+","Hundai Motors
4,10,000  4 Lacs+",Nil,Nil,Nil,Nil, 2060000
vii,Jewellery (give details weight value),"gold 200 gm.
7,40,000  7 Lacs+

500 gm. silver
22,500  22 Thou+","640 gm. gold
23,68,000  23 Lacs+

2000 gm. silver
90,000  90 Thou+",Nil,Nil,Nil,Nil, 3220500
viii,"Other assets, such as values of claims / interests",Nil,Nil,Nil,Nil,Nil,Nil,0
x,Gross Total Value (as per Affidavit),"67,16,700  67 Lacs+","66,16,561  66 Lacs+",Nil,Nil,Nil,Nil, 13333261
xi,Totals (Calculated as Sum of Values),"Rs 67,16,700
67 Lacs+","Rs 66,16,561
66 Lacs+",Nil,Nil,Nil,Nil, 13333261
