SrNo,Description,Self,Spouse,HUF,Dependent1,Dependent2,Dependent3,TotalPrice
i,Cash,"1,00,000  1 Lacs+","50,000  50 Thou+",Nil,"10,000  10 Thou+","5,000  5 Thou+",Nil, 165000
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","HDFC BANK
33,950  33 Thou+

UNION BANK
7,000  7 Thou+

AXIS BANK
10,000  10 Thou+

J.P. PARISARIK
5,000  5 Thou+

Bandhan Bank
11,344  11 Thou+","HDFC BANK
49,634  49 Thou+

UNION BANK
21,013  21 Thou+

BANDHAN BANK
142  1 Hund+",Nil,"75,000  75 Thou+","75,000  75 Thou+",Nil, 288083
iii,"Bonds, Debentures and Shares in companies",Nil,Nil,Nil,Nil,Nil,Nil,0
iv,"(a)
NSS, Postal Savings etc",Nil,Nil,Nil,Nil,Nil,Nil,0
"(b)
LIC or other insurance Policies","LIC
65,00,000  65 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 65,00,000
65 Lacs+",0
v,Personal loans/advance given,Nil,Nil,Nil,Nil,Nil,Nil,0
vi,"Motor Vehicles (details of make, etc.)",Nil,"JEEP CAR
26,00,000  26 Lacs+",Nil,Nil,Nil,Nil, 2600000
vii,Jewellery (give details weight value),"5 tola golds
1,95,000  1 Lacs+","Gold 10 Tola
3,90,000  3 Lacs+",Nil,Nil,Nil,Nil, 585000
viii,"Other assets, such as values of claims / interests",Nil,Nil,Nil,Nil,Nil,Nil,0
x,Gross Total Value (as per Affidavit),"68,62,294  68 Lacs+","31,10,789  31 Lacs+",Nil,"85,000  85 Thou+","80,000  80 Thou+",Nil, 10138083
xi,Totals (Calculated as Sum of Values),"Rs 68,62,294
68 Lacs+","Rs 31,10,789
31 Lacs+",Nil,"Rs 85,000
85 Thou+","Rs 80,000
80 Thou+",Nil, 10138083
