SrNo,Description,Self,Spouse,HUF,Dependent1,Dependent2,Dependent3,TotalPrice
i,Cash,"1,04,850  1 Lacs+","1,27,600  1 Lacs+","45,720  45 Thou+","34,650  34 Thou+",Nil,Nil, 312820
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","UBI Nagpur A/C No 3660020100xxxxx
7,234  7 Thou+

UBI Nagpur A/C No 4424020300xxxxx
1,10,646  1 Lacs+

Arvind Sahakri Bank Ltd A/C No 1002031300xxxxx
13,183  13 Thou+

SBI Nariman Point Mumbai A/C No 107682xxxxx
1,52,752  1 Lacs+

Bank of Maharashtra A/C No 603428xxxxx
40,500  40 Thou+","UBI Nagpur A/C No 3660020100xxxxx
34,715  34 Thou+

HDFC Bank Malad Mumbai A/C No 501001397xxxxx
145  1 Hund+

PNB Nagpur A/C No 14720021000xxxxx
10,717  10 Thou+","UBI A/C No 4424020100xxxxx
1,43,235  1 Lacs+","UBI Nagpur A/C No 3660020100xxxxx
1,63,501  1 Lacs+

PNB Nagpur A/C No 14720001003xxxxx
6,028  6 Thou+

Yes Bank Nagpur A/C No 0028901000xxxxx
42,572  42 Thou+",Nil,Nil, 725228
iii,"Bonds, Debentures and Shares in companies","Reliance Power 93 equity shares
242  2 Hund+

Integra Engineering India Ltd 200 equity shares
8,760  8 Thou+

Reliance Industries Ltd 120 equity shares
1,56,444  1 Lacs+

Rama Petrochemicals pvt ltd 400 equity shares
3,200  3 Thou+","Glenmark Pharma Ltd 51 eq. shares
16,295  16 Thou+

Himadri speciality chemical ltd 48 eq. shares
3,792  3 Thou+

Lupin ltd 29 eq. shares
20,358  20 Thou+

Maruti Suzuki india ltd 25 shares
1,69,650  1 Lacs+

Xpro india ltd 15 equity shares
387  3 Hund+

Reliance communications 100 equity shares
70  

Reliance Power 25 equity shares
65  

Cimmco Ltd 5 equity shares
103  1 Hund+

Rishi Techtex ltd 200 equity shares
5,600  5 Thou+","Reliance communications 374 equity shares
262  2 Hund+

TCFC Finance ltd 37 dq. shares
944  9 Hund+",Nil,Nil,Nil, 386172
iv,"(a)
NSS, Postal Savings etc",Nil,Nil,Nil,Nil,Nil,Nil,0
"(b)
LIC or other insurance Policies","Lic
2,97,343  2 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 2,97,343
2 Lacs+",0
v,Personal loans/advance given,Nil,Nil,Nil,Nil,Nil,Nil,0
vi,"Motor Vehicles (details of make, etc.)",Nil,Nil,Nil,Nil,Nil,Nil,0
vii,Jewellery (give details weight value),"Gold Jewellery 230gms @38540/- for 10gm
8,86,420  8 Lacs+

Silver Utensils 8kg@47400/-per kg
3,79,200  3 Lacs+","Gold Jewellery 431gms @38540/- for 10gm
16,61,074  16 Lacs+",Nil,Nil,Nil,Nil, 2926694
viii,"Other assets, such as values of claims / interests",Nil,"Balance with S.S. Enterprises
1,98,928  1 Lacs+

Balance with Ace Soyatech
1,18,79,369  1 Crore+","Balance with HD Interprises
4,54,263  4 Lacs+",Nil,Nil,Nil, 12532560
x,Gross Total Value (as per Affidavit),"21,60,774  21 Lacs+","1,41,28,867  1 Crore+","6,44,423  6 Lacs+","2,46,751  2 Lacs+",Nil,Nil, 17180815
xi,Totals (Calculated as Sum of Values),"Rs 21,60,774
21 Lacs+","Rs 1,41,28,868
1 Crore+","Rs 6,44,424
6 Lacs+","Rs 2,46,751
2 Lacs+",Nil,Nil, 17180817
