SrNo,Description,Self,Spouse,HUF,Dependent1,Dependent2,Dependent3,TotalPrice
i,Cash,"Sangram Arunkaka Jagtap
3,52,521  3 Lacs+","Shital Sangram Jagtap
2,09,800  2 Lacs+",Nil,Nil,Nil,Nil, 562321
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","State Bank of India
5,853  5 Thou+

State Bank of India Biridgaon
1,17,830  1 Lacs+

Bank of India Aananddham
0  

Ahmednagar merchants co-op bank ltd.
41,834  41 Thou+

Ahmednagar Dist Central Co op bank Ghogargaon
7,033  7 Thou+

punjab National Bank Ghagargaon Branch
0  

FD with Ahmednagar Merchants co op bank
24,813  24 Thou+","ahmednagar Marchants. Co-op bank ltd. marketyard
16,645  16 Thou+

Ahemdnagar Dist Central Co op Bank Ghogargaon
25,058  25 Thou+

HDFC Bank ltd Ahmednagar
7,709  7 Thou+

Punjab National Bank Ghogargaon
1,000  1 Thou+","5,964  5 Thou+",Nil,Nil,Nil, 253739
iii,"Bonds, Debentures and Shares in companies","Ahmednagar Merchants Co op bank ltd Market Yard Ahmednagar shares (5*1000)
5,000  5 Thou+

Prerna Nagari Patsanstha Maryadit
100  1 Hund+","Ahemdnagar merchants co op bank ltd, Market Yard Ahmednagar Shars 2*1000
2,000  2 Thou+

Prerana Nagari Patsantha Maryadit
100  1 Hund+",Nil,Nil,Nil,Nil, 7200
iv,"(a)
NSS, Postal Savings etc",Nil,Nil,Nil,Nil,Nil,Nil,0
"(b)
LIC or other insurance Policies","LIC No 955669315
5,00,000  5 Lacs+

LIC No 955603588
1,00,000  1 Lacs+

Star Health Insurance 14/12/18
5,00,000  5 Lacs+","LIC No 9556881882
5,00,000  5 Lacs+",Nil,Nil,Nil,Nil,"Rs 16,00,000
16 Lacs+",0
v,Personal loans/advance given,"Mrs. Sheetal Sangram Jagtap Ahemdnagar
5,86,197  5 Lacs+

Hotel Raj Regency 45% Share partner
15,30,000  15 Lacs+

hotel RajYog 30% share as Partner
71,56,280  71 Lacs+

Hotel rajshree 45% share partener
34,83,419  34 Lacs+

Hotel Rajanand share Partner
11,49,194  11 Lacs+

taware petroleum Share partner
13,46,312  13 Lacs+",Nil,Nil,Nil,Nil,Nil, 15251402
vi,"Motor Vehicles (details of make, etc.)","INOVA MH 16 CH0015 Year 2017
22,70,856  22 Lacs+

CRV HONDA MLV MH16BS0015 Year 2016
26,65,990  26 Lacs+","FORCE MH 16EY1500 Year 2012
6,00,000  6 Lacs+

YAMAHA MH 16AZ3300 Year 2013
40,000  40 Thou+

LATIS TOYOTO MH16CP5055 Year 2018
19,99,900  19 Lacs+",Nil,Nil,Nil,Nil, 7576746
vii,Jewellery (give details weight value),"100 Grm 30/9/19
3,93,583  3 Lacs+","300grm
11,80,749  11 Lacs+",Nil,Nil,Nil,Nil, 1574332
viii,"Other assets, such as values of claims / interests",Nil,Nil,Nil,Nil,Nil,Nil,0
x,Gross Total Value (as per Affidavit),"2,22,36,816  2 Crore+","45,82,962  45 Lacs+","5,964  5 Thou+",Nil,Nil,Nil, 26825742
xi,Totals (Calculated as Sum of Values),"Rs 2,22,36,815
2 Crore+","Rs 45,82,961
45 Lacs+","Rs 5,964
5 Thou+",Nil,Nil,Nil, 26825740
