SrNo,Description,Self,Spouse,HUF,Dependent1,Dependent2,Dependent3,TotalPrice
i,Cash,"5,25,200  5 Lacs+","65,000  65 Thou+",Nil,Nil,Nil,Nil, 590200
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","Pragati Non Agri Pat Sanstha
2,00,400  2 Lacs+

Parmatma Ek Sevak Mohdura
1,44,000  1 Lacs+

Central Bank
9,214  9 Thou+

Dena Bank
33,371  33 Thou+

HDFC 1
3,86,311  3 Lacs+

HDFC 2
2,267  2 Thou+

SBI
6,53,082  6 Lacs+

BDC Bank
10,241  10 Thou+

IDBI 1
6,357  6 Thou+

IDBI 2
10,550  10 Thou+

Urban Co Op
1,346  1 Thou+","HDFC 1
30,029  30 Thou+

BDC Bank
28,038  28 Thou+",Nil,Nil,Nil,Nil, 1515206
iii,"Bonds, Debentures and Shares in companies",Nil,Nil,Nil,Nil,Nil,Nil,0
iv,"(a)
NSS, Postal Savings etc",Nil,Nil,Nil,Nil,Nil,Nil,0
"(b)
LIC or other insurance Policies","LIC
20,03,462  20 Lacs+","LIC
7,95,195  7 Lacs+",Nil,Nil,Nil,Nil,"Rs 27,98,657
27 Lacs+",0
v,Personal loans/advance given,"4,36,11,794  4 Crore+",Nil,Nil,Nil,Nil,Nil, 43611794
vi,"Motor Vehicles (details of make, etc.)","Innova Car MH36H6616 Year 2015
10,24,522  10 Lacs+

Keta Car MH36H3282 Year 2018
8,70,844  8 Lacs+",Nil,Nil,Nil,Nil,Nil, 1895366
vii,Jewellery (give details weight value),"10.5 Gms Gold Rs. 3900 Per Grams
40,950  40 Thou+","200 Gms Gold Rs. 3900/- Per Grams
7,80,000  7 Lacs+",Nil,Nil,Nil,Nil, 820950
viii,"Other assets, such as values of claims / interests",Nil,Nil,Nil,Nil,Nil,Nil,0
x,Gross Total Value (as per Affidavit),"5,95,31,650  5 Crore+","16,98,262  16 Lacs+",Nil,Nil,Nil,Nil, 61229912
xi,Totals (Calculated as Sum of Values),"Rs 4,95,33,911
4 Crore+","Rs 16,98,262
16 Lacs+",Nil,Nil,Nil,Nil, 51232173
