SrNo,Description,Self,Spouse,HUF,Dependent1,Dependent2,Dependent3,TotalPrice
i,Cash,"15,20,440  15 Lacs+","13,10,250  13 Lacs+","5,50,606  5 Lacs+",Nil,Nil,Nil, 3381296
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","The National Co-Op Bank Nariman Point Saving A/C
1,46,499  1 Lacs+

The National Co-Op Bank Nariman Point Saving A/C
19,086  19 Thou+

Union Bank of India Mumbai Main Office Saving A/C
41,949  41 Thou+

Union Bank of India Mumbai Main Office Saving A/C
1,20,835  1 Lacs+

The Osmanabad Distt. Central Co-Op Bank Savings A/C Deposits
7,21,602  7 Lacs+

Terna Nagari Sahakari Bank Ltd Os Bad Savings A/C
8,855  8 Thou+

Bank of Baroda Sangli Savings A/C
2,504  2 Thou+

BMC 8050 Savings A/C
1,18,873  1 Lacs+

Union Bank of India, Br. Osmanabad
35,000  35 Thou+

BMC - 8050 savings A/C
4,100  4 Thou+","The Cosmos Co-Op Bank ltd. Kothrud Br. Savings A/C
29,348  29 Thou+

The Cosmos Co-Op Bank ltd. Kothrud Br. Savings A/C
1,54,527  1 Lacs+

The Cosmos Co-Op Bank ltd. Kothrud Br. Savings A/C
1,59,692  1 Lacs+

Union Bank of India Mumbai Main Office Saving A/C
2,20,498  2 Lacs+

Union Bank of India Mumbai Main Office Saving A/C
1,325  1 Thou+

The Osmanabad Distt. Central Co-Op Bank Savings A/C Deposits
1,19,635  1 Lacs+

State Bank of India Osmanabad Saving A/C
4,92,208  4 Lacs+

Terna Nagari Sahakari Bank Ltd, os Bad Savings A/C
25,850  25 Thou+

Terna Nagari Sahakari Bank Ltd, os Bad Current A/C
10,800  10 Thou+

Union Bank of India, Br. Osmanabad
29,379  29 Thou+

Bank of Baroda India
1,27,107  1 Lacs+","Union Bank Of India Mumbai Main Office Savings A/C
17,516  17 Thou+

The Osmanabad Distt. Central Co-Op Bank Saving A/C
1,93,394  1 Lacs+",Nil,Nil,Nil, 2800582
iii,"Bonds, Debentures and Shares in companies","The National Co-Op Bank Ltd
50,100  50 Thou+

Puncham Aqua Ltd.
11,25,000  11 Lacs+

Baramati Agro Ltd.
85,000  85 Thou+

Videocon Appliances Ltd.
35,000  35 Thou+

Terna Shetkari Sahkari Sakar Karkhana Dhoki
5,000  5 Thou+

Prithvijeet Graper - Grover;s Co-Op Society Ltd
20,000  20 Thou+

UTI 64
13,900  13 Thou+

Ter LSMP Seva Sakhari Society Ltd., Ter
3,000  3 Thou+

OTA (I) Ltd.
25,000  25 Thou+

Connaught Co-Op Hsg. Soc.
2,000  2 Thou+

Hermes Electronics Pvt. Ltd.
32,34,600  32 Lacs+

Terna Electrotech
10,000  10 Thou+

Knowledge Oak Company (1) Pvt.Ltd
1,01,000  1 Lacs+

Terna Infotech CSL
10,000  10 Thou+

Tuljai SFAC Ltd.
1,50,00,000  1 Crore+

The Mahanagar Co-Op Bank Ltd.
5,00,000  5 Lacs+

Osmanabad Dist Co-Op Bank Ltd
3,000  3 Thou+","Terna Shetkari Sahkari Sakar Karkhana Dhoki
2,000  2 Thou+

Terna Shetkari Sahkari Reshim Vastra Nirman Sanstha Ltd. Osbad
1,000  1 Thou+

Prithvijeet Graper - Grover;s Co-Op Society Ltd
20,000  20 Thou+

Hermes Electronics Pvt. Ltd.
25,85,450  25 Lacs+

Terna Infotech CSL
10,000  10 Thou+

Tuljai SFAC LTD
25,000  25 Thou+",Nil,Nil,Nil,Nil, 22866050
iv,"(a)
NSS, Postal Savings etc",Nil,Nil,Nil,Nil,Nil,Nil,0
"(b)
LIC or other insurance Policies","LIC Polices SA Policy No 922539491
50,00,000  50 Lacs+

LIC Polices SA Policy No 922539490
2,50,00,000  2 Crore+

LIC Polices SA Policy No 981240480
3,00,000  3 Lacs+

LIC Polices SA Policy No 981201105
1,00,000  1 Lacs+

LIC Polices SA Policy No 981461070
10,00,000  10 Lacs+","LIC Polices SA Policy No 901856796
6,00,000  6 Lacs+",Nil,Nil,Nil,Nil,"Rs 3,20,00,000
3 Crore+",0
v,Personal loans/advance given,"Archana Patil
31,68,948  31 Lacs+

CP Patil
38,940  38 Thou+

Divinet Access Tech Pvt. Ltd.
50,00,000  50 Lacs+

Hermes Electronics Pvt. Ltd.
1,42,92,977  1 Crore+

Kazi Kalimodin
50,000  50 Thou+

Knowledge Oak Company (1) Pvt. Ltd
14,91,000  14 Lacs+

KT Wear
5,00,000  5 Lacs+

Sundry Loans
5,07,890  5 Lacs+

Pradip Munde
3,00,000  3 Lacs+

S.K Rajenimbalkar
10,00,000  10 Lacs+

Sharad Agroprocess Ltd
50,000  50 Thou+

Tuljai SFAC Ltd
1,81,11,650  1 Crore+

DDN SFA Ltd.
1,21,20,000  1 Crore+

Malhar Patil
5,00,000  5 Lacs+

Other
70,000  70 Thou+","Hermes Electronics PVt. Ltd
48,95,271  48 Lacs+

Sharad Agroprocess Ltd
50,000  50 Thou+

Other
70,000  70 Thou+","Archana Patil
3,20,000  3 Lacs+

Hermes Electronics Pvt. Ltd.
55,68,720  55 Lacs+

Patil Ranajagjitsinha
19,23,949  19 Lacs+

Dr. P.B. Patil
5,35,000  5 Lacs+

Malhar Patil
6,00,000  6 Lacs+

Pioneer
8,20,000  8 Lacs+",Nil,Nil,Nil, 71984345
vi,"Motor Vehicles (details of make, etc.)","Flat MAF 539
17,000  17 Thou+

Tata Siera MH-12-LA-5511
50,000  50 Thou+

Motar Bike Mjj-2121
5,000  5 Thou+",Nil,Nil,Nil,Nil,Nil, 72000
vii,Jewellery (give details weight value),"Diamond Jewellery
11,95,677  11 Lacs+","Gold 3139.620 Gms
1,15,53,801  1 Crore+

Diamond Jewellery
12,025  12 Thou+",Nil,Nil,Nil,Nil, 12761503
viii,"Other assets, such as values of claims / interests","1,16,99,809  1 Crore+",Nil,Nil,Nil,Nil,Nil, 11699809
x,Gross Total Value (as per Affidavit),"12,45,32,237  12 Crore+","2,25,35,734  2 Crore+","1,05,29,185  1 Crore+",Nil,Nil,Nil, 157597156
xi,Totals (Calculated as Sum of Values),"Rs 12,45,31,234
12 Crore+","Rs 2,25,05,166
2 Crore+","Rs 1,05,29,185
1 Crore+",Nil,Nil,Nil, 157565585
