SrNo,Description,Self,Spouse,HUF,Dependent1,Dependent2,Dependent3,TotalPrice
i,Cash,"7,61,504  7 Lacs+","8,46,177  8 Lacs+",Nil,"45,882  45 Thou+",Nil,Nil, 1653563
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","Punjab National Bank
9,85,127  9 Lacs+

Tirupati Urban Co Op Bank
10,213  10 Thou+

Tirupati Urban Co Op Bank
77,800  77 Thou+

Axis Bank
8,54,369  8 Lacs+

HDFC Bank
2,81,820  2 Lacs+

HDFC Bank
1,882  1 Thou+

PPF Nagpur
36,77,575  36 Lacs+

Sharda Nagari Society Deposit
50,000  50 Thou+

Tirupati Urban Co Op Bank 37/38011/1
1,39,306  1 Lacs+","Tirupati Urban Co Op Bank
8,52,430  8 Lacs+

Punjab National Bank
3,10,682  3 Lacs+

Tirupati Urban Co Op Bank
3,113  3 Thou+

HDFC Bank
2,67,651  2 Lacs+

HDFC Bank
577  5 Hund+

Axis Bank
2,72,646  2 Lacs+

PPF Nagpur
35,18,395  35 Lacs+","Tirupati Urban Co Op Bank
2,37,538  2 Lacs+","Tirupati Urban Co Op Bank
988  9 Hund+

Axis Bank
2,533  2 Thou+

PPF Account
36,85,300  36 Lacs+","Tirupati Urban Co Op Bank
36,742  36 Thou+

SBI
7,21,943  7 Lacs+

PPF Nagpur
18,86,656  18 Lacs+",Nil, 17875286
iii,"Bonds, Debentures and Shares in companies","Abhudaya Co Op bank
200  2 Hund+

Br Sheshrao Wankhede
5,000  5 Thou+

Chitanvispura Co Op Bank Ltd
1,000  1 Thou+

Shikshak Sahakari bank Ltd
1,000  1 Thou+

Wardhaman Urban Co Op Bank Ltd
1,63,000  1 Lacs+

Tirupati Urban Co Op Bank Ltd
5,07,500  5 Lacs+

Shri Dattatraya GSKS & PPIS
50,000  50 Thou+

Shri Dattatraya Weaving Autoloom
20,000  20 Thou+

Dattraya Textile Custer
50,000  50 Thou+

Wardha Nagari Sah Adhi Bank
50  

Meghes Educational Institutions
50,000  50 Thou+

Meghe Education Foundation
50,000  50 Thou+

Ceinsys Tech Ltd
10,71,46,027  10 Crore+

Akola Urban Co Op Bank Ltd
200  2 Hund+

SMD Hospital Pvt Ltd
12,10,000  12 Lacs+

SMG Hospital Pvt Ltd
73,42,500  73 Lacs+

SMG Realties Pvt ltd
40,000  40 Thou+

Shree Sainath Textiles Pvt Ltd
11,20,000  11 Lacs+

Shree Sainath Agro Field P Ltd
1,18,355  1 Lacs+

RaghavInfra Developers & Builders Pvt Ltd
3,10,000  3 Lacs+

Primus Finance Pvt Ltd
4,63,75,000  4 Crore+

Radha Riddhi Enterprises Pvt Ltd
35,000  35 Thou+

Nagar Yuvak Shikshan Foundation
50,000  50 Thou+

Datta Agrovision Pvt Ltd
1,25,000  1 Lacs+

Vidyarthi Sudhar Sangh Foundation
50,000  50 Thou+

Reliance Power Ltd
52  

Suzlon Energy Ltd
3,700  3 Thou+

NATCO
1,08,410  1 Lacs+

Dolat Investment
10,13,128  10 Lacs+

Franklin India Smaller Co Fund
3,70,426  3 Lacs+

Franklin India Focused EF
3,07,373  3 Lacs+

Axis Blue Chip Fund
30,638  30 Thou+

Aditya Birla Sunlife Infrastructure FUnd
22,363  22 Thou+

DSP Small Cap Fund
21,902  21 Thou+

HDFC Top 100 Fund
28,718  28 Thou+

ICICI Prudential Multi Asset Fund
28,266  28 Thou+

ICICI Prudential Midcap Fund
25,180  25 Thou+

IDFC Multi Cap Fund
24,505  24 Thou+

Reliance Banking Fund
29,442  29 Thou+

Reliance Focused EF
24,916  24 Thou+

Reliance Large Cap Fund
27,572  27 Thou+

ICICI Pru Value Discovery Fund
1,15,133  1 Lacs+

ICICI Pru Value Discovery Fund
1,71,300  1 Lacs+

Kotak Standard Multicap Fund
3,10,963  3 Lacs+

SBI Bluechip Fund
2,92,265  2 Lacs+

Aditya Birla SL
5,06,228  5 Lacs+

Aditya Biral SL Frontline
6,73,280  6 Lacs+

Franklin India Focused ED
2,44,725  2 Lacs+

Franklin India Prima
6,33,812  6 Lacs+

HDFC Mid Cap Opportunities
6,04,239  6 Lacs+

ICICI Pru Bluechip
7,12,577  7 Lacs+

Kotak Standard Multicap
7,11,363  7 Lacs+

Motilal Oswal Multicap
6,63,584  6 Lacs+

Kotak Standard Multicap
44,163  44 Thou+

Axis Mid Cap
45,230  45 Thou+

Mirae Asset Emerging
59,449  59 Thou+

SBI Small Cap
45,194  45 Thou+

ICICI Pru Banking & Financial Services
43,254  43 Thou+

HDFC
56,951  56 Thou+

HDFC
24,30,250  24 Lacs+

IIFL Special OPP Fund Series
97,69,708  97 Lacs+","Tirupati Urban Co Op Bank Ltd
5,00,000  5 Lacs+

Br Sheshrao Wankhede
7,000  7 Thou+

Shri Dattatraya GSKS & PPIS
30,000  30 Thou+

Shri Dattatraya Weaving Autoloom
20,000  20 Thou+

Shikshak Sahakari bank Ltd
1,000  1 Thou+

Chitanvispura Co Op Bank Ltd
1,000  1 Thou+

Datta Meghe Foundation
50,000  50 Thou+

Radha Riddhi Enterprises Pvt Ltd
5,000  5 Thou+

SMG Realties Pvt Ltd
5,000  5 Thou+

SMG Hospital Pvt Ltd
69,07,800  69 Lacs+

Ceinsys Tech Ltd
6,30,73,523  6 Crore+

Raghav Infra Developers & Builders Pvt Ltd
3,10,000  3 Lacs+

Shree Sainath Agrofield Pvt Ltd
69,700  69 Thou+

Shree Sainath Textiles Pvt Ltd
40,00,000  40 Lacs+

Aditya Birla Sunlifr
29,407  29 Thou+

Aditya Birla Sunlifr
25,787  25 Thou+

Franklin India Focussed Fund
1,83,287  1 Lacs+

Frankline India Prima Fund
25,730  25 Thou+

HDFC EF
29,020  29 Thou+

HDFC Mid Cap
25,814  25 Thou+

ICICI Prudential Infrastructure Fund
24,755  24 Thou+

ICICI Prudential Focused
27,968  27 Thou+

IDFC Multi Cap Fund
24,518  24 Thou+

Reliance Multicap Fund
25,463  25 Thou+

Reliance Small Cap Fund
26,632  26 Thou+

Franklin India Smaller Co Fund
3,70,427  3 Lacs+

SBI Bluechip Fund
1,64,960  1 Lacs+

ICICI Prudential Value Discovery Fund
1,71,300  1 Lacs+

Kotak Standard Multicap Fund
1,73,747  1 Lacs+

Aditya Birla SL
4,58,730  4 Lacs+

Aditya Birla SL
5,13,152  5 Lacs+

Franklin India Prima Direct G
2,46,347  2 Lacs+

Franklin India Prima Direct
4,82,594  4 Lacs+

HDFC Mid Cap
4,60,500  4 Lacs+

ICICI Pru Bluechip
5,41,929  5 Lacs+

Kotak Standard Multicap
5,98,734  5 Lacs+

Motilal Oswal Multicap
6,11,059  6 Lacs+

Aditya Birla Sunlife
43,191  43 Thou+

Axis Multicap Fund
60,108  60 Thou+

Canara Robeco
43,843  43 Thou+

Franklin India Prima Fund
43,980  43 Thou+

HDFC Small Cap Fund
43,072  43 Thou+

ICICI Pru Bluechip Fund
58,748  58 Thou+

National Highway Authority Of India
10,00,000  10 Lacs+","SMG Hospital Pvt Ltd
43,95,725  43 Lacs+

Shree Sainath Agrofield Pvt Ltd
8,690  8 Thou+

Edelweiss House Finance Ltd
5,26,732  5 Lacs+

Tirupati Urban Co Op Bank Ltd
5,00,000  5 Lacs+","Tirupati Urban Co Op Bank Ltd
5,00,100  5 Lacs+

Aditya Birla SL
12,08,175  12 Lacs+

Aditya Birla SL
17,44,009  17 Lacs+

Franklin India Focused ED
5,48,961  5 Lacs+

Franklin India Prima Direct
16,35,650  16 Lacs+

Franklin India EF
2,33,471  2 Lacs+

Franklin India Focused
1,66,648  1 Lacs+

HDFC Mid Cap
15,66,372  15 Lacs+

HDFC
24,55,000  24 Lacs+

HDFC
1,54,770  1 Lacs+

HDFC
1,68,259  1 Lacs+

ICICI
2,30,953  2 Lacs+

ICICI
2,64,480  2 Lacs+

ICICI
15,41,706  15 Lacs+

Kotak Standard Multicap
18,67,450  18 Lacs+

Motilal Oswal Multicap
17,71,582  17 Lacs+

Reliance Multi Cap Fund
1,64,288  1 Lacs+

Reliance Banking Fund
2,65,854  2 Lacs+","Aditya Birla Sun Life
2,32,892  2 Lacs+

Aditya Birla SL
10,19,447  10 Lacs+

Franklin India EF
3,11,824  3 Lacs+

ICICI
2,30,871  2 Lacs+

Aditya Birla SL
14,47,944  14 Lacs+

Tata Hybrid
1,57,416  1 Lacs+

Reliance Banking Fund
2,67,777  2 Lacs+

Reliance Multi Cap
1,64,736  1 Lacs+

SBI
2,00,335  2 Lacs+

Franklin India Focused
4,88,564  4 Lacs+

Franklin India Prima
13,77,494  13 Lacs+

HDFC
12,98,922  12 Lacs+

ICICI
13,77,795  13 Lacs+

Kotak Standard Multicap
15,47,378  15 Lacs+

Motilal Oswal
14,44,642  14 Lacs+

Kotak Standard Multicap
58,885  58 Thou+

Mirae Asser Emerging
59,913  59 Thou+

HDFC Small Cap Fund
43,072  43 Thou+

Franklin India Focused
42,971  42 Thou+

L&T Midcao
44,328  44 Thou+

ICICI Pru Banking & Financial Services Fund
13,789  13 Thou+",Nil, 300284786
iv,"(a)
NSS, Postal Savings etc",Nil,Nil,Nil,Nil,Nil,Nil,0
"(b)
LIC or other insurance Policies","LIC 970787161
3,02,760  3 Lacs+

LIC 970856341
1,74,248  1 Lacs+

LIC 970891600
2,36,918  2 Lacs+

LIC 970891601
2,36,918  2 Lacs+

LIC 970891602
2,36,918  2 Lacs+

LIC 970891603
3,90,000  3 Lacs+

LIC 970891604
3,90,000  3 Lacs+

LIC 970991682
2,40,108  2 Lacs+

LIC 970991683
2,40,108  2 Lacs+

LIC 970991684
2,40,108  2 Lacs+

LIC 970991685
2,40,108  2 Lacs+

LIC 971103279
19,17,744  19 Lacs+

LIC 971410086
17,67,888  17 Lacs+

LIC 971410088
11,80,464  11 Lacs+

LIC 971407991
18,50,992  18 Lacs+

LIC 975332757
14,93,700  14 Lacs+

LIC 978681494
12,15,989  12 Lacs+

LIC 979824693
14,53,794  14 Lacs+

LIC 979591351
4,25,233  4 Lacs+

LIC 910173434
75,00,000  75 Lacs+

ICICI 17163664
50,00,000  50 Lacs+

ICICI 17656617
37,50,000  37 Lacs+

ICICI 19404403
37,50,000  37 Lacs+

ICICI 19404322
3,00,000  3 Lacs+

PNB 1200900850013
3,71,008  3 Lacs+

PNB 21385569
1,50,00,000  1 Crore+

PNB 21690859
50,00,000  50 Lacs+

SBI 44055079106
30,00,000  30 Lacs+

SBI Life 2B000648110
30,00,000  30 Lacs+

Edelweiss Tokio Life Insurance
5,10,840  5 Lacs+

Future General India Life Insurance
20,50,000  20 Lacs+","LIC 971401140
3,98,752  3 Lacs+

LIC 971419095
21,99,852  21 Lacs+

SBI 53003694707
10,00,000  10 Lacs+

SBI 2B000769508
18,00,000  18 Lacs+",Nil,"LIC 971401922
2,38,716  2 Lacs+

LIC 971405107
9,54,846  9 Lacs+

LIC 971416674
10,91,650  10 Lacs+

LIC 978682853
30,39,222  30 Lacs+

ICICI 13318286
45,00,000  45 Lacs+","LIC 978681499
30,39,222  30 Lacs+",Nil,"Rs 8,17,28,106
8 Crore+",0
v,Personal loans/advance given,"Sai Poultry Farm
3,00,000  3 Lacs+

Raghav Associates
10,000  10 Thou+

Raghav Associates
14,28,23,101  14 Crore+

SM Associates
25,000  25 Thou+

SM Associates
1,50,02,335  1 Crore+

Meghe Heights
49,000  49 Thou+

Advance For Purchase Of Land
3,00,000  3 Lacs+

Advance For Purchase Of Land
2,00,000  2 Lacs+

Pawansut Travels Pvt Ltd
1,60,394  1 Lacs+

Laxmi Construction
3,64,995  3 Lacs+

Encore Infrastructure
29,779  29 Thou+","Raghav Associates
10,000  10 Thou+

Raghav Associates
45,45,002  45 Lacs+

SD Associates
12,500  12 Thou+

SD Associates
1,25,00,091  1 Crore+

Sai Poultry Farm
3,00,000  3 Lacs+

Meghe Heights
1,000  1 Thou+

WIP Meghdoot Residency
85,23,963  85 Lacs+

Security Deposit
5,000  5 Thou+

Pawansut Travels Pvt Ltd
86,840  86 Thou+

Indian Fire Protection
41,433  41 Thou+

Rent Receivable
4,50,000  4 Lacs+

TDS Receivable
50,000  50 Thou+",Nil,"Pawansut Travels Pvt Ltd
85,041  85 Thou+",Nil,Nil, 185875474
vi,"Motor Vehicles (details of make, etc.)",Nil,Nil,Nil,Nil,Nil,Nil,0
vii,Jewellery (give details weight value),"Gold 2365.77 Gram
89,85,397  89 Lacs+

Diamond 88.06
56,65,560  56 Lacs+

Silver Utensils 8394
3,56,745  3 Lacs+","Gold 4169.83 Grams
1,35,55,929  1 Crore+

Diamond 309.7
1,15,87,005  1 Crore+

Sivler Utensils
13,49,297  13 Lacs+",Nil,Nil,Nil,Nil, 41499933
viii,"Other assets, such as values of claims / interests","Agriculture Equipments
6,01,000  6 Lacs+

Household Articles
8,03,285  8 Lacs+

Furniture & Fixtures
3,97,866  3 Lacs+

Tractor
7,31,500  7 Lacs+

Computer
43,270  43 Thou+

Movable Assets Of Pre Primary Business Dhamangaon
5,86,483  5 Lacs+

Movable Assets Of Pre Primary Business Wardha
1,54,409  1 Lacs+

Movable Assets Of Pre Primary Business Amravati
86,480  86 Thou+

School Of Scholars
63,35,012  63 Lacs+

School Of Scholars
1,20,149  1 Lacs+

Shalinta Hotel
1,08,93,730  1 Crore+

Sharda Hotel
10,96,082  10 Lacs+

Gayatri Hotel
71,63,858  71 Lacs+

Meghe Heights 3
31,97,105  31 Lacs+

Shalinta Hostel
96,65,703  96 Lacs+

Sharda Hostel
74,18,112  74 Lacs+

Meghe Heights
58,29,455  58 Lacs+

Gayatri Hostel
1,64,43,001  1 Crore+

Durga Hostel
10,18,524  10 Lacs+","Agriculture Equipments
2,93,960  2 Lacs+

Meghe Heights
1,27,500  1 Lacs+

RDS Receivable
1,65,000  1 Lacs+","Edelweiss Financial Advisor Pvt Ltd
4,12,124  4 Lacs+

Meghe Heights
20,00,000  20 Lacs+

TDS Receivables
15,123  15 Thou+",Nil,Nil,Nil, 75598731
x,Gross Total Value (as per Affidavit),"50,09,02,873  50 Crore+","14,65,89,620  14 Crore+","80,95,932  80 Lacs+","3,01,31,906  3 Crore+","1,75,15,558  1 Crore+",Nil, 703235889
