SrNo,Description,Self,Spouse,HUF,Dependent1,Dependent2,Dependent3,TotalPrice
i,Cash,"23,318  23 Thou+","11,236  11 Thou+",Nil,Nil,Nil,Nil, 34554
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","SBI
38,955  38 Thou+

BOM
12,961  12 Thou+

Vijaya Bank
12,431  12 Thou+

Dombivali Nagari Bank
4,228  4 Thou+

The Thane District Sahakari Bank
40,580  40 Thou+

Thane Janata Sahakari Bank
1,450  1 Thou+

BOM
12,960  12 Thou+

SBI
849  8 Hund+","SBI
5,280  5 Thou+

The Thane District Sahakari Bank
69,210  69 Thou+

The Thane District Sahakari Bank
227  2 Hund+

BOM
1,761  1 Thou+

Dombivali Nagari Bank
11,406  11 Thou+

Vijaya Bank
14,003  14 Thou+",Nil,Nil,Nil,Nil, 226301
iii,"Bonds, Debentures and Shares in companies",Nil,Nil,Nil,Nil,Nil,Nil,0
iv,"(a)
NSS, Postal Savings etc",Nil,Nil,Nil,Nil,Nil,Nil,0
"(b)
LIC or other insurance Policies",Nil,"LIC
1,25,000  1 Lacs+

LIC
5,00,000  5 Lacs+",Nil,Nil,Nil,Nil,"Rs 6,25,000
6 Lacs+",0
v,Personal loans/advance given,Nil,Nil,Nil,Nil,Nil,Nil,0
vi,"Motor Vehicles (details of make, etc.)","2 Wheeler Hero Honda
65,000  65 Thou+

4 Wheeler Mahindra Pickup
6,85,498  6 Lacs+",Nil,Nil,Nil,Nil,Nil, 750498
vii,Jewellery (give details weight value),"20 Gram Gold
72,000  72 Thou+","30 Gram Gold
1,08,000  1 Lacs+",Nil,Nil,Nil,Nil, 180000
viii,"Other assets, such as values of claims / interests",Nil,Nil,Nil,Nil,Nil,Nil,0
x,Gross Total Value (as per Affidavit),"9,70,230  9 Lacs+","8,46,123  8 Lacs+",Nil,Nil,Nil,Nil, 1816353
xi,Totals (Calculated as Sum of Values),"Rs 9,70,230
9 Lacs+","Rs 8,46,123
8 Lacs+",Nil,Nil,Nil,Nil, 1816353
