SrNo,Description,Self,Spouse,HUF,Dependent1,Dependent2,Dependent3,TotalPrice
i,Cash,"10,270  10 Thou+","6,150  6 Thou+",Nil,Nil,Nil,Nil, 16420
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","Bank of india
46,990  46 Thou+

Solapur Janta Co-Op Bank Ltd
500  5 Hund+","SBI Bank
7,182  7 Thou+

Bank of baroda
10,761  10 Thou+

Bank of India
3,309  3 Thou+",Nil,Nil,Nil,Nil, 68742
iii,"Bonds, Debentures and Shares in companies",Nil,Nil,Nil,Nil,Nil,Nil,0
iv,"(a)
NSS, Postal Savings etc",Nil,Nil,Nil,Nil,Nil,Nil,0
"(b)
LIC or other insurance Policies",Nil,"LIC
67,200  67 Thou+",Nil,Nil,Nil,Nil,"Rs 67,200
67 Thou+",0
v,Personal loans/advance given,Nil,Nil,Nil,Nil,Nil,Nil,0
vi,"Motor Vehicles (details of make, etc.)","Bullet (Royal Infild)
1,05,000  1 Lacs+

Honda Shain
70,000  70 Thou+

Honda Duait
65,000  65 Thou+","Honda Duait
65,000  65 Thou+

Scouty Pep
60,000  60 Thou+",Nil,Nil,Nil,Nil, 365000
vii,Jewellery (give details weight value),"Gold 60.00 gram
2,28,000  2 Lacs+","Gold-70.00 Gram
2,66,000  2 Lacs+

Silver -500 gram
23,500  23 Thou+",Nil,Nil,Nil,Nil, 517500
viii,"Other assets, such as values of claims / interests",Nil,Nil,Nil,Nil,Nil,Nil,0
x,Gross Total Value (as per Affidavit),"5,25,760  5 Lacs+","5,09,109  5 Lacs+",Nil,Nil,Nil,Nil, 1034869
xi,Totals (Calculated as Sum of Values),"Rs 5,25,760
5 Lacs+","Rs 5,09,102
5 Lacs+",Nil,Nil,Nil,Nil, 1034862
