SrNo,Description,Self,Spouse,HUF,Dependent1,Dependent2,Dependent3,TotalPrice
i,Cash,"1,56,810  1 Lacs+","54,709  54 Thou+",Nil,Nil,Nil,Nil, 211519
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","28,92,250  28 Lacs+","18,93,414  18 Lacs+",Nil,Nil,Nil,Nil, 4785664
iii,"Bonds, Debentures and Shares in companies","IDBI Flexibond
60,000  60 Thou+

Shares Tirupati Urban
39,000  39 Thou+

RK Ashirvad Enterprise Partner
40,59,211  40 Lacs+","Shares
39,000  39 Thou+

LIC Redemption MF
1,647  1 Thou+

RK Ashirvad Enterprises Partner
40,59,211  40 Lacs+

RK Ashirvad Enterprises Fixed Capital
8,000  8 Thou+",Nil,Nil,Nil,Nil, 8266069
iv,"(a)
NSS, Postal Savings etc",Nil,Nil,Nil,Nil,Nil,Nil,0
"(b)
LIC or other insurance Policies","HDFC Life Insurance
97,815  97 Thou+","LIC Premium
2,45,309  2 Lacs+",Nil,Nil,Nil,Nil,"Rs 3,43,124
3 Lacs+",0
v,Personal loans/advance given,"Shital Pankaj Bhoyar Personal Advance
45,34,000  45 Lacs+

Flat Advance Mumbai
14,00,000  14 Lacs+

TM Networks Pune Loan
2,04,092  2 Lacs+

Advance Income Tax & TDS
15,16,940  15 Lacs+","Deshmukh Shailendra Warud
2,00,000  2 Lacs+

Kamptee Plot Advance
3,00,000  3 Lacs+

Flat Maintenance Deposit Rudra Apt
4,00,000  4 Lacs+

Deposit With Pan Card Club
50,600  50 Thou+

Advance Income Tax & TDS
9,52,301  9 Lacs+",Nil,Nil,Nil,Nil, 9557933
vi,"Motor Vehicles (details of make, etc.)",Nil,Nil,Nil,Nil,Nil,Nil,0
vii,Jewellery (give details weight value),"Gold 395 Gram
12,52,150  12 Lacs+

Silver 6985 Gram
2,89,877  2 Lacs+","Gold 488 Gram
15,46,960  15 Lacs+

Silver 2800 Gram
1,16,200  1 Lacs+",Nil,"Gold 98 Gram
3,10,660  3 Lacs+","Gold 70 Gram
2,21,900  2 Lacs+",Nil, 3737747
viii,"Other assets, such as values of claims / interests","Personal Asset Furniture Fixture
5,00,000  5 Lacs+","Personal Asset Furniture Fixture
7,50,000  7 Lacs+",Nil,Nil,Nil,Nil, 1250000
x,Gross Total Value (as per Affidavit),"1,70,02,147  1 Crore+","1,06,17,352  1 Crore+",Nil,"3,10,660  3 Lacs+","2,21,900  2 Lacs+",Nil, 28152059
xi,Totals (Calculated as Sum of Values),"Rs 1,70,02,145
1 Crore+","Rs 1,06,17,351
1 Crore+",Nil,"Rs 3,10,660
3 Lacs+","Rs 2,21,900
2 Lacs+",Nil, 28152056
