SrNo,Description,Self,Spouse,HUF,Dependent1,Dependent2,Dependent3,TotalPrice
i,Cash,"13,30,765  13 Lacs+","3,64,253  3 Lacs+",Nil,Nil,Nil,Nil, 1695018
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","FDR.-Shikshak Sahakari Bank Ltd.
57,164  57 Thou+

State bank of india, Mumbai
1,19,78,438  1 Crore+

ICICI Bank, Mumbai
1,98,902  1 Lacs+

Saving Account- State bank of india, Maumbai
5,42,508  5 Lacs+

Yes bank,Nagpur
9,450  9 Thou+

ICICI Bank,Mumbai
2,79,713  2 Lacs+

Bank of maharashtra,Nagpur
0  

Bank of india Nagpur
1,10,496  1 Lacs+

Shikshak Sahakari bank Nagpur
71,976  71 Thou+

Recurring Deposit With State bank of india Mumbai
4,60,000  4 Lacs+","FDR-Shikshak Sahakari Bank Ltd
4,18,842  4 Lacs+

Saving Account ICICI Bank Mumbai
3,92,009  3 Lacs+

Bank of maharashtra,Nagpur
5,08,536  5 Lacs+

Bank of india,Nagpur
29,758  29 Thou+",Nil,Nil,Nil,Nil, 15057792
iii,"Bonds, Debentures and Shares in companies","Shikshak Sahkari Bank Ltd,Nagpur
5,000  5 Thou+

Vishvajyoti
15,00,000  15 Lacs+

Shares (Details Enclosed)
30,37,124  30 Lacs+

HDFC Mutual Fund
4,00,000  4 Lacs+

Reliance
50,000  50 Thou+

Badjate Stock
3,552  3 Thou+","Shikshak Sahakari Bank Ltd.Nagpur
7,800  7 Thou+",Nil,Nil,Nil,Nil, 5003476
iv,"(a)
NSS, Postal Savings etc",Nil,Nil,Nil,Nil,Nil,Nil,0
"(b)
LIC or other insurance Policies",Nil,Nil,Nil,Nil,Nil,Nil,Nil,0
v,Personal loans/advance given,"Investment in Business
40,30,200  40 Lacs+

Pepole Progressive Education Society
5,75,000  5 Lacs+

NR Multistructure India pvt Ltd
7,00,000  7 Lacs+

Moledcule Communication
2,72,000  2 Lacs+

Digital Hethi Medeia Services
5,00,000  5 Lacs+

Emerald IT Service Pvt.,Ltd.
0  

Loan In advance Other
21,06,679  21 Lacs+","Pepole Progressive Education society
5,75,000  5 Lacs+

Emerald It Service Pvt Ltd
1,50,000  1 Lacs+

Nitin Raut
79,03,151  79 Lacs+",Nil,Nil,Nil,Nil, 16812030
vi,"Motor Vehicles (details of make, etc.)","Enova 4 Wheeler MH-49/4E-0009 Purchase Date-13/08/2016
12,63,212  12 Lacs+",Nil,Nil,Nil,Nil,Nil, 1263212
vii,Jewellery (give details weight value),"Ancestral 40 Tolas Gold & Ornaments
13,28,800  13 Lacs+","Ancestral 60 tolas Gold & Ornaments
19,96,200  19 Lacs+",Nil,Nil,Nil,Nil, 3325000
viii,"Other assets, such as values of claims / interests",Nil,Nil,Nil,Nil,Nil,Nil,0
x,Gross Total Value (as per Affidavit),"3,08,10,979  3 Crore+","1,03,49,349  1 Crore+",Nil,Nil,Nil,Nil, 41160328
xi,Totals (Calculated as Sum of Values),"Rs 3,08,10,979
3 Crore+","Rs 1,23,45,549
1 Crore+",Nil,Nil,Nil,Nil, 43156528
