SrNo,Description,Self,Spouse,HUF,Dependent1,Dependent2,Dependent3,TotalPrice
i,Cash,"50,000  50 Thou+","20,000  20 Thou+",Nil,Nil,Nil,Nil, 70000
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","2,00,000  2 Lacs+","Indian Overseas Bank Sion Branch
3,000  3 Thou+",Nil,Nil,Nil,Nil, 203000
iii,"Bonds, Debentures and Shares in companies","Share Capital in Sri Murugan Cargo Pvt. Ltd
50,000  50 Thou+",Nil,Nil,Nil,Nil,Nil, 50000
iv,"(a)
NSS, Postal Savings etc",Nil,Nil,Nil,Nil,Nil,Nil,0
"(b)
LIC or other insurance Policies","Lic
9,55,604  9 Lacs+","Lic
58,735  58 Thou+",Nil,Nil,Nil,Nil,"Rs 10,14,339
10 Lacs+",0
v,Personal loans/advance given,"Debtors
47,12,580  47 Lacs+",Nil,Nil,Nil,Nil,Nil, 4712580
vi,"Motor Vehicles (details of make, etc.)","Ford Endeavour MH-04-CB-3485, year 2004
18,00,000  18 Lacs+

Ford Endeavour 3.2L Titanium MH-01-CP-6566, year 2017
31,62,918  31 Lacs+",Nil,Nil,Nil,Nil,Nil, 4962918
vii,Jewellery (give details weight value),"180gms Gold
5,76,000  5 Lacs+","80gms Gold
2,56,000  2 Lacs+",Nil,Nil,Nil,Nil, 832000
viii,"Other assets, such as values of claims / interests",Nil,Nil,Nil,Nil,Nil,Nil,0
x,Gross Total Value (as per Affidavit),"1,15,07,102  1 Crore+","3,37,735  3 Lacs+",Nil,Nil,Nil,Nil, 11844837
xi,Totals (Calculated as Sum of Values),"Rs 1,15,07,102
1 Crore+","Rs 3,37,735
3 Lacs+",Nil,Nil,Nil,Nil, 11844837
