SrNo,Description,Self,Spouse,HUF,Dependent1,Dependent2,Dependent3,TotalPrice
i,Cash,"1,50,000  1 Lacs+","50,000  50 Thou+",Nil,Nil,Nil,Nil, 200000
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","SBI Br Mumbai
9,791  9 Thou+

Sangli Urban Co- Op Bank br Majalgaon
3,233  3 Thou+

Sidheshwar Urban Co-Op Credit Society Majalgaon
2,339  2 Thou+

Beed District Central Co-Op Bank
95,013  95 Thou+

SBI Br. Majalgaon
5,59,859  5 Lacs+

Dawarkadas Co-Op Bank Br. Majalaon
259  2 Hund+

IIDFC Bank br. Majalgaon
3,19,611  3 Lacs+

HDFC Bank Br.Majalgaon
51,11,073  51 Lacs+

ICICI Bank Br. Koregao Pune
64,962  64 Thou+

IDBI Bank Br. Koregao Park Pune
57,763  57 Thou+

Parivartan Multistate Majalgaon
3,00,000  3 Lacs+

DBI Bank Br. Koregao Park Pune
2,83,705  2 Lacs+

Beed District Central Co-Op Bank
90,288  90 Thou+","Jagruti M.N.P Majalgaon
6,00,000  6 Lacs+

Sangli Urban Co-Op Bank Br. Majalgaon
10,713  10 Thou+

Sidheshwar Urban Co Op Credit Society. Majalgaon
1,469  1 Thou+

Beed Distt. Central Co Op bank Telgaon Br.
14,793  14 Thou+

HDFC Bank Br. Majalgaon
1,94,327  1 Lacs+

Jagruti M.N.P Majalgaon
58,762  58 Thou+

Bank of india Pune
5,00,000  5 Lacs+",Nil,Nil,Nil,Nil, 8277960
iii,"Bonds, Debentures and Shares in companies",Nil,"Dinbandu M.N P. Dharur
2,00,000  2 Lacs+

Kanifnath G. and A.L Pvt. Ltd
3,00,000  3 Lacs+",Nil,Nil,Nil,Nil, 500000
iv,"(a)
NSS, Postal Savings etc",Nil,Nil,Nil,Nil,Nil,Nil,0
"(b)
LIC or other insurance Policies",Nil,Nil,Nil,Nil,Nil,Nil,Nil,0
v,Personal loans/advance given,"Dashrath Santram Jadhav R/o Kannapur Tq. Dharur Dist. Beed
1,00,000  1 Lacs+",Nil,Nil,Nil,Nil,Nil, 100000
vi,"Motor Vehicles (details of make, etc.)","MH-23H-500 Qualis Toyato Year 2000
6,50,000  6 Lacs+

MH-44-B-22 Fortunure Toyato year 2010
22,00,000  22 Lacs+

MH23-3001
8,25,000  8 Lacs+

MH23-3002
8,25,000  8 Lacs+

MH23-300 Truck Ashok Year 2002
8,25,000  8 Lacs+

MH23-7275 Tractor year 2010
6,75,000  6 Lacs+","MH23-3005 year Of Purchase
8,25,000  8 Lacs+

MH23-3006 Truck Year of Purchase 2002
8,25,000  8 Lacs+

MH23-3007 Year of Purchase 2002
8,25,000  8 Lacs+

MH233005,3006 & 3007
0",Nil,Nil,Nil,Nil, 8475000
vii,Jewellery (give details weight value),"Gold 600Gm
22,44,000  22 Lacs+","Gold 1400 Grm
52,36,000  52 Lacs+",Nil,Nil,Nil,Nil, 7480000
viii,"Other assets, such as values of claims / interests",Nil,Nil,Nil,Nil,Nil,Nil,0
x,Gross Total Value (as per Affidavit),"1,53,91,896  1 Crore+","96,41,064  96 Lacs+",Nil,Nil,Nil,Nil, 25032960
xi,Totals (Calculated as Sum of Values),"Rs 1,53,91,896
1 Crore+","Rs 96,41,064
96 Lacs+",Nil,Nil,Nil,Nil, 25032960
