SrNo,Description,Self,Spouse,HUF,Dependent1,Dependent2,Dependent3,TotalPrice
i,Cash,"1,00,000  1 Lacs+","30,000  30 Thou+",Nil,Nil,Nil,Nil, 130000
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","4,50,000  4 Lacs+","2,00,000  2 Lacs+",Nil,Nil,Nil,Nil, 650000
iii,"Bonds, Debentures and Shares in companies",Nil,Nil,Nil,Nil,Nil,Nil,0
iv,"(a)
NSS, Postal Savings etc","7,50,000  7 Lacs+","3,50,000  3 Lacs+",Nil,Nil,Nil,Nil, 1100000
"(b)
LIC or other insurance Policies",Nil,Nil,Nil,Nil,Nil,Nil,Nil,0
v,Personal loans/advance given,Nil,Nil,Nil,Nil,Nil,Nil,0
vi,"Motor Vehicles (details of make, etc.)","Jeep MH27H9496, Year 2006
2,00,000  2 Lacs+

Mahindra Scorpio MH27H9500, Year 2005
2,50,000  2 Lacs+

TATA HEXA MH27BV5858, YEAR 2017
9,00,000  9 Lacs+",Nil,Nil,Nil,Nil,Nil, 1350000
vii,Jewellery (give details weight value),"Gold Ring 4 Gram
13,500  13 Thou+","Mangalsutra 20 Gram, Bangles 20 Gram, Silver anklet 200 Gram
1,70,200  1 Lacs+",Nil,Nil,"Gold Earrings 5 Gram
16,000  16 Thou+

Gold Chain 5 Gram
16,000  16 Thou+",Nil, 215700
viii,"Other assets, such as values of claims / interests",Nil,Nil,Nil,Nil,Nil,Nil,0
x,Gross Total Value (as per Affidavit),"26,63,500  26 Lacs+","7,50,200  7 Lacs+",Nil,Nil,"32,000  32 Thou+",Nil, 3445700
xi,Totals (Calculated as Sum of Values),"Rs 26,63,500
26 Lacs+","Rs 7,50,200
7 Lacs+",Nil,Nil,"Rs 32,000
32 Thou+",Nil, 3445700
