SrNo,Description,Self,Spouse,HUF,Dependent1,Dependent2,Dependent3,TotalPrice
i,Cash,"2,55,630  2 Lacs+","2,00,000  2 Lacs+",Nil,"45,500  45 Thou+","36,000  36 Thou+",Nil, 537130
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","22,42,055  22 Lacs+","21,29,228  21 Lacs+",Nil,"8,42,918  8 Lacs+","2,300  2 Thou+",Nil, 5216501
iii,"Bonds, Debentures and Shares in companies",Nil,Nil,Nil,Nil,"1,13,854  1 Lacs+",Nil, 113854
iv,"(a)
NSS, Postal Savings etc",Nil,Nil,Nil,Nil,Nil,Nil,0
"(b)
LIC or other insurance Policies",Nil,Nil,Nil,Nil,Nil,Nil,Nil,0
v,Personal loans/advance given,"57,13,500  57 Lacs+","1,02,000  1 Lacs+",Nil,Nil,Nil,Nil, 5815500
vi,"Motor Vehicles (details of make, etc.)","Maruti Suzuki SX4 MH04EF2300
9,47,443  9 Lacs+

Toyota Glanza MH04KD2300
7,90,000  7 Lacs+","Honda Activa MH04GB2300
40,000  40 Thou+",Nil,Nil,"Honda Activa MH04JP2300
60,000  60 Thou+",Nil, 1837443
vii,Jewellery (give details weight value),"20.75 Gram
72,246  72 Thou+","126.75 Gram
4,41,293  4 Lacs+",Nil,"51.26 Gram
1,78,456  1 Lacs+",Nil,Nil, 691995
viii,"Other assets, such as values of claims / interests","4,50,000  4 Lacs+",Nil,Nil,Nil,Nil,Nil, 450000
x,Gross Total Value (as per Affidavit),"1,04,70,874  1 Crore+","29,12,581  29 Lacs+",Nil,"10,66,874  10 Lacs+","2,12,154  2 Lacs+",Nil, 14662483
xi,Totals (Calculated as Sum of Values),"Rs 1,04,70,874
1 Crore+","Rs 29,12,521
29 Lacs+",Nil,"Rs 10,66,874
10 Lacs+","Rs 2,12,154
2 Lacs+",Nil, 14662423
