SrNo,Description,Self,Spouse,HUF,Dependent1,Dependent2,Dependent3,TotalPrice
i,Cash,"1,90,000  1 Lacs+","1,70,000  1 Lacs+",Nil,Nil,Nil,Nil, 360000
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","SBI Branch Parbhani
1,98,331  1 Lacs+

Parbhani Dist. Madhya sahkari Bank Branch parbhani
41,083  41 Thou+

Parbhani dist.sahkari bank Branch Pedgaon
52,010  52 Thou+

Union Bank of India Branch ParBhani
1,000  1 Thou+

Parbhani dist.sahkari bank Branch Parbhani
25,98,955  25 Lacs+","Parbhani dist.sahkari bank Branch Parbhani
1,271  1 Thou+

Parbhani dist.sahkari bank Branch Pedgaon
37,929  37 Thou+

Indian Overseas Bank Branch parbhani
1,86,434  1 Lacs+",Nil,Nil,Nil,Nil, 3117013
iii,"Bonds, Debentures and Shares in companies",Nil,Nil,Nil,Nil,Nil,Nil,0
iv,"(a)
NSS, Postal Savings etc",Nil,Nil,Nil,Nil,Nil,Nil,0
"(b)
LIC or other insurance Policies",Nil,Nil,Nil,Nil,Nil,Nil,Nil,0
v,Personal loans/advance given,Nil,Nil,Nil,Nil,Nil,Nil,0
vi,"Motor Vehicles (details of make, etc.)",Nil,Nil,Nil,Nil,Nil,Nil,0
vii,Jewellery (give details weight value),"10 Tola
2,70,000  2 Lacs+","60 Tola
16,20,000  16 Lacs+",Nil,Nil,Nil,Nil, 1890000
viii,"Other assets, such as values of claims / interests",Nil,Nil,Nil,Nil,Nil,Nil,0
x,Gross Total Value (as per Affidavit),"33,51,379  33 Lacs+","20,15,634  20 Lacs+",Nil,Nil,Nil,Nil, 5367013
xi,Totals (Calculated as Sum of Values),"Rs 33,51,379
33 Lacs+","Rs 20,15,634
20 Lacs+",Nil,Nil,Nil,Nil, 5367013
