SrNo,Description,Self,Spouse,HUF,Dependent1,Dependent2,Dependent3,TotalPrice
i,Cash,"5,00,000  5 Lacs+","5,00,000  5 Lacs+",Nil,"1,00,000  1 Lacs+","50,000  50 Thou+","50,000  50 Thou+", 1200000
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","Bank of Maharashra
5,298  5 Thou+

Janta Sahkari Bank
1,604  1 Thou+","IDBI Bank
23,671  23 Thou+

Janta Sahkari Bank
15,520  15 Thou+",Nil,Nil,Nil,Nil, 46093
iii,"Bonds, Debentures and Shares in companies",Nil,Nil,Nil,Nil,Nil,Nil,0
iv,"(a)
NSS, Postal Savings etc",Nil,Nil,Nil,Nil,Nil,Nil,0
"(b)
LIC or other insurance Policies",Nil,Nil,Nil,Nil,Nil,Nil,Nil,0
v,Personal loans/advance given,Nil,Nil,Nil,Nil,Nil,Nil,0
vi,"Motor Vehicles (details of make, etc.)",Nil,Nil,Nil,Nil,Nil,Nil,0
vii,Jewellery (give details weight value),"12 Tola Gold
4,60,800  4 Lacs+","50 Tola Gold
19,20,000  19 Lacs+",Nil,"5 Tola Gold
1,92,000  1 Lacs+","5 Tola Gold
1,92,000  1 Lacs+","3 Tola Gold
1,15,200  1 Lacs+", 2880000
viii,"Other assets, such as values of claims / interests",Nil,Nil,Nil,Nil,Nil,Nil,0
x,Gross Total Value (as per Affidavit),"9,67,702  9 Lacs+","24,59,281  24 Lacs+",Nil,"2,92,000  2 Lacs+","2,42,000  2 Lacs+","1,65,200  1 Lacs+", 4126183
xi,Totals (Calculated as Sum of Values),"Rs 9,67,702
9 Lacs+","Rs 24,59,191
24 Lacs+",Nil,"Rs 2,92,000
2 Lacs+","Rs 2,42,000
2 Lacs+","Rs 1,65,200
1 Lacs+", 4126093
