SrNo,Description,Self,Spouse,HUF,Dependent1,Dependent2,Dependent3,TotalPrice
i,Cash,"3,02,500  3 Lacs+","10,300  10 Thou+",Nil,Nil,Nil,Nil, 312800
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","The Shirpur Peoples co-op Bank
22,148  22 Thou+

DDCC Bank
11,085.94  11 Thou+

Bharatiya State Bank of India
2,42,087.63  2 Lacs+

Bharatiya State Bank of India,Mumbai
2,003.78  2 Thou+

BOB, Dahiwad
1,813.40  1 Thou+

DDCC Bank
7,974  7 Thou+","The Shirpur Peoples co-op Bank
1,052  1 Thou+

DDCC Bank
6,928  6 Thou+

Union Bank of India
6,992  6 Thou+",Nil,Nil,Nil,Nil, 302084.75
iii,"Bonds, Debentures and Shares in companies","Khan Texttiles
100  1 Hund+

Shirpur Setkari Sahakari sugar Factory
5,000  5 Thou+

Priydarshani Sutgirani,Shirpur
2,000  2 Thou+

Shirpur Peoples co-op Bank
50,000  50 Thou+

Rajyog Sahakari Housing Society ,Mumbai
500  5 Hund+","Shirpur Peoples co-op Bank
1,000  1 Thou+",Nil,Nil,Nil,Nil, 58600
iv,"(a)
NSS, Postal Savings etc",Nil,Nil,Nil,Nil,Nil,Nil,0
"(b)
LIC or other insurance Policies","LIC
60,000  60 Thou+",Nil,Nil,Nil,Nil,Nil,"Rs 60,000
60 Thou+",0
v,Personal loans/advance given,Nil,Nil,Nil,Nil,Nil,Nil,0
vi,"Motor Vehicles (details of make, etc.)","Freedom Bike, MH18S5199, Year 2004
43,000  43 Thou+

Scarpio, MH18W2913
13,72,051  13 Lacs+",Nil,Nil,Nil,Nil,Nil, 1415051
vii,Jewellery (give details weight value),Nil,"50Gram Gold
1,35,000  1 Lacs+

3 kg Silver
1,20,000  1 Lacs+",Nil,Nil,Nil,Nil, 255000
viii,"Other assets, such as values of claims / interests",Nil,Nil,Nil,Nil,Nil,Nil,0
x,Gross Total Value (as per Affidavit),"27,13,782  27 Lacs+","2,70,972  2 Lacs+",Nil,Nil,Nil,Nil, 2984754
xi,Totals (Calculated as Sum of Values),"Rs 21,22,263.75
21 Lacs+","Rs 2,81,272
2 Lacs+",Nil,Nil,Nil,Nil, 2403535.75
