SrNo,Description,Self,Spouse,HUF,Dependent1,Dependent2,Dependent3,TotalPrice
i,Cash,"4,88,188  4 Lacs+","1,51,700  1 Lacs+","1,39,400  1 Lacs+",Nil,Nil,Nil, 779288
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","4,53,676  4 Lacs+

69,148  69 Thou+

6,11,288  6 Lacs+

9,00,000  9 Lacs+

17,859  17 Thou+

33,758  33 Thou+

5,32,621  5 Lacs+","60,343  60 Thou+

1,84,520  1 Lacs+","13,503  13 Thou+",Nil,Nil,Nil, 2876716
iii,"Bonds, Debentures and Shares in companies","72,760  72 Thou+",Nil,Nil,Nil,Nil,Nil, 72760
iv,"(a)
NSS, Postal Savings etc","5,19,608  5 Lacs+",Nil,Nil,Nil,Nil,Nil, 519608
"(b)
LIC or other insurance Policies","17,00,000  17 Lacs+","25,00,000  25 Lacs+",Nil,Nil,Nil,Nil,"Rs 42,00,000
42 Lacs+",0
v,Personal loans/advance given,"1,44,38,370  1 Crore+",Nil,Nil,Nil,Nil,Nil, 14438370
vi,"Motor Vehicles (details of make, etc.)","20,77,930  20 Lacs+",Nil,Nil,Nil,Nil,Nil, 2077930
vii,Jewellery (give details weight value),"20,50,000  20 Lacs+

4,00,000  4 Lacs+","4,00,000  4 Lacs+",Nil,Nil,Nil,Nil, 2850000
viii,"Other assets, such as values of claims / interests","77,022  77 Thou+",Nil,Nil,Nil,Nil,Nil, 77022
x,Gross Total Value (as per Affidavit),"2,44,42,230  2 Crore+","32,96,563  32 Lacs+","1,52,903  1 Lacs+",Nil,Nil,Nil, 27891696
xi,Totals (Calculated as Sum of Values),"Rs 2,44,42,228
2 Crore+","Rs 32,96,563
32 Lacs+","Rs 1,52,903
1 Lacs+",Nil,Nil,Nil, 27891694
