SrNo,Description,Self,Spouse,HUF,Dependent1,Dependent2,Dependent3,TotalPrice
i,Cash,"3,37,480  3 Lacs+","2,26,370  2 Lacs+",Nil,Nil,Nil,Nil, 563850
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","Dena Bank
1,14,89,498  1 Crore+

Dena Bank
3,29,737  3 Lacs+

Bank Of Baroda
71,643  71 Thou+

Jankalyan Sahakari Bank
13,74,610  13 Lacs+

ICICI Bank
2,25,038  2 Lacs+

Axis Bank
2,72,889  2 Lacs+

Abhudaya Co Op Bank
3,183  3 Thou+

FDR In Bank Of Baroda
3,10,782  3 Lacs+","Dena Bank
6,66,388  6 Lacs+",Nil,Nil,Nil,Nil, 14743768
iii,"Bonds, Debentures and Shares in companies","Bank Of Baroda Mutual Fund
5,00,000  5 Lacs+

Asahi India Glass Ltd
36,24,000  36 Lacs+",Nil,Nil,Nil,Nil,Nil, 4124000
iv,"(a)
NSS, Postal Savings etc",Nil,Nil,Nil,Nil,Nil,Nil,0
"(b)
LIC or other insurance Policies","LIC
14,27,560  14 Lacs+","LIC
5,80,412  5 Lacs+",Nil,Nil,Nil,Nil,"Rs 20,07,972
20 Lacs+",0
v,Personal loans/advance given,Nil,Nil,Nil,Nil,Nil,Nil,0
vi,"Motor Vehicles (details of make, etc.)",Nil,Nil,Nil,Nil,Nil,Nil,0
vii,Jewellery (give details weight value),"97 Gram Gold
3,29,000  3 Lacs+","217 Gram Gold
7,36,000  7 Lacs+",Nil,Nil,Nil,Nil, 1065000
viii,"Other assets, such as values of claims / interests","50% Shares 2018-19
25,20,832  25 Lacs+",Nil,Nil,Nil,Nil,Nil, 2520832
x,Gross Total Value (as per Affidavit),"2,28,16,252  2 Crore+","22,09,170  22 Lacs+",Nil,Nil,Nil,Nil, 25025422
xi,Totals (Calculated as Sum of Values),"Rs 2,28,16,252
2 Crore+","Rs 22,09,170
22 Lacs+",Nil,Nil,Nil,Nil, 25025422
