SrNo,Description,Self,Spouse,HUF,Dependent1,Dependent2,Dependent3,TotalPrice
i,Cash,"25,000  25 Thou+","25,000  25 Thou+",Nil,Nil,Nil,Nil, 50000
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies",Nil,Nil,Nil,Nil,Nil,Nil,0
iii,"Bonds, Debentures and Shares in companies",Nil,Nil,Nil,Nil,Nil,Nil,0
iv,"(a)
NSS, Postal Savings etc",Nil,Nil,Nil,Nil,Nil,Nil,0
"(b)
LIC or other insurance Policies",Nil,Nil,Nil,Nil,Nil,Nil,Nil,0
v,Personal loans/advance given,Nil,Nil,Nil,Nil,Nil,Nil,0
vi,"Motor Vehicles (details of make, etc.)",Nil,"Beat 2013 MH353928
1,00,000  1 Lacs+",Nil,Nil,Nil,Nil, 100000
vii,Jewellery (give details weight value),"1,00,000  1 Lacs+","4,00,000  4 Lacs+",Nil,Nil,Nil,Nil, 500000
viii,"Other assets, such as values of claims / interests",Nil,Nil,Nil,Nil,Nil,Nil,0
x,Gross Total Value (as per Affidavit),"1,35,000  1 Lacs+","5,25,000  5 Lacs+",Nil,Nil,Nil,Nil, 660000
xi,Totals (Calculated as Sum of Values),"Rs 1,25,000
1 Lacs+","Rs 5,25,000
5 Lacs+",Nil,Nil,Nil,Nil, 650000
