SrNo,Description,Self,Spouse,HUF,Dependent1,Dependent2,Dependent3,TotalPrice
i,Cash,"5,78,600  5 Lacs+","2,15,306  2 Lacs+",Nil,"5,000  5 Thou+",Nil,Nil, 798906
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","Akola Urban Coop.Bank Adarsha Colony
68,056  68 Thou+

Nishant Mult1 State Coop.Cred1t M ahila Branch
1,920  1 Thou+

HDFC Bank
33,744  33 Thou+

Axis Bank
96,732  96 Thou+

Nishant Multi Statc Coop. society
4,89,300  4 Lacs+

Nishant Multi State Coop. society
20,286  20 Thou+

Amravati Dist Central Co.Op LTD.
5,481  5 Thou+

Akola District Central Cooperative Bank Ltd
30,134  30 Thou+

Janata Commercial Coop. Bank Ltd
2,554  2 Thou+

Nisliant Mult1 State Coop.Cred1t Society
2,134  2 Thou+

Nisliant Multi State Coop.Cred1tSociety
10,23,639  10 Lacs+

State Bank of India
11,66,135  11 Lacs+

Bank of India
4,734  4 Thou+","Akola Urban Coop.Bank
3,38,764  3 Lacs+

Nishant Mult1 State Coop.Cred1t
1,25,279  1 Lacs+

Nishant Mult1 State Coop.Cred1t
3,26,674  3 Lacs+

Amravati Distt. Central Cooperative Bank Ltd
2,644  2 Thou+

Akola Distt. Central Cooperative Bank Ltd.
14,626  14 Thou+",Nil,"Nishant Mult1 State Coop.Credit
6,53,347  6 Lacs+

Akola Merchant Coop.Bank
71,157  71 Thou+

Akola Urban Co-op Bank Ltd.
1,87,184  1 Lacs+","Nishant Multi State Coop.Credit Society
6,53,347  6 Lacs+

Akola Distt. Central Corporative . Bank Ltd
26,031  26 Thou+",Nil, 5343902
iii,"Bonds, Debentures and Shares in companies","Shares of Co-op. Banks and Society
1,33,850  1 Lacs+

Shares of listed companies
49,975  49 Thou+

Maharashtra State Seeds Corporation Ltd. Akola
1,000  1 Thou+

Shares of unlisted companies
2,00,000  2 Lacs+

PPF-State Bank or India
2,05,775  2 Lacs+","Shares of Co-op. Banks and Societies
82,400  82 Thou+

Shares of listed company
4,46,571  4 Lacs+

harashtra State Seeds Corporation Ltd. Akola
1,000  1 Thou+

PPF-State Bank Of India
1,86,599  1 Lacs+",Nil,"PPF-State Bank Of India
1,86,604  1 Lacs+","PPF-State Bank Of India
1,70,377  1 Lacs+",Nil, 1664151
iv,"(a)
NSS, Postal Savings etc",Nil,Nil,Nil,Nil,Nil,Nil,0
"(b)
LIC or other insurance Policies","19,19,322  19 Lacs+","3,23,518  3 Lacs+",Nil,Nil,"3,47,782  3 Lacs+",Nil,"Rs 25,90,622
25 Lacs+",0
v,Personal loans/advance given,"Dhanlaxmi Enterprises,Mumbai
24,10,673  24 Lacs+

Krushidhan Seeds Pvt Ltd,Pune
1,74,00,000  1 Crore+

Unnati Association,Akola
50,45,344  50 Lacs+

Pravin Sawarkar
40,000  40 Thou+

Anita Kishor Agarwal
5,33,932  5 Lacs+

Gopal Makkhanlal Sharma
3,28,037  3 Lacs+

Kashiram sable
6,76,000  6 Lacs+

Kishor Mukundal Agarwal
5,33,932  5 Lacs+

Shri Datta Kripa CHSL Mumbai
5,00,000  5 Lacs+

Unnati Devlopers Mumbai
5,40,000  5 Lacs+

Business Debtors in Next Shopee
82,801  82 Thou+","Shri.Randhir P.Sawarkar
1,60,61,000  1 Crore+

Kastkar Krushi Sewa kendra Apatapa
31,250  31 Thou+

Unnati Nagar Akola
2,32,537  2 Lacs+",Nil,Nil,Nil,Nil, 44415506
vi,"Motor Vehicles (details of make, etc.)","SX-4 Maruti Four wheeler MH—30-AA-1434
6,83,859  6 Lacs+

Scorpio Four wheeler MH-27-AR-6313
9,44,388  9 Lacs+

John Deere 5203 MH-30—J-6420
3,00,000  3 Lacs+

Tractor Trolly MH-30-J-2033
70,000  70 Thou+",Nil,Nil,Nil,Nil,Nil, 1998247
vii,Jewellery (give details weight value),"GOLD 50 GRAMS
1,95,000  1 Lacs+","GOLD 200 GRAMS
8,00,000  8 Lacs+",Nil,"10 Gms Gold
40,000  40 Thou+",Nil,Nil, 1035000
viii,"Other assets, such as values of claims / interests",Nil,Nil,Nil,Nil,Nil,Nil,0
x,Gross Total Value (as per Affidavit),"3,63,17,337  3 Crore+","1,91,88,168  1 Crore+",Nil,"11,43,292  11 Lacs+","11,97,537  11 Lacs+",Nil, 57846334
xi,Totals (Calculated as Sum of Values),"Rs 3,63,17,337
3 Crore+","Rs 1,91,88,168
1 Crore+",Nil,"Rs 11,43,292
11 Lacs+","Rs 11,97,537
11 Lacs+",Nil, 57846334
