SrNo,Description,Self,Spouse,HUF,Dependent1,Dependent2,Dependent3,TotalPrice
i,Cash,"21,00,000  21 Lacs+",Nil,Nil,Nil,Nil,Nil, 2100000
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies",Nil,Nil,Nil,Nil,"1,00,000  1 Lacs+",Nil, 100000
iii,"Bonds, Debentures and Shares in companies",Nil,Nil,Nil,Nil,Nil,Nil,0
iv,"(a)
NSS, Postal Savings etc",Nil,Nil,Nil,Nil,Nil,Nil,0
"(b)
LIC or other insurance Policies",Nil,Nil,Nil,Nil,Nil,Nil,Nil,0
v,Personal loans/advance given,Nil,Nil,Nil,Nil,Nil,Nil,0
vi,"Motor Vehicles (details of make, etc.)","Honda Citycar MH26 V9494
9,00,000  9 Lacs+",Nil,Nil,Nil,Nil,Nil, 900000
vii,Jewellery (give details weight value),"25 Tola Gold
9,55,625  9 Lacs+","25 Tola Gold
9,55,625  9 Lacs+",Nil,Nil,Nil,Nil, 1911250
viii,"Other assets, such as values of claims / interests",Nil,Nil,Nil,Nil,Nil,Nil,0
x,Gross Total Value (as per Affidavit),"39,55,625  39 Lacs+","9,55,625  9 Lacs+",Nil,Nil,Nil,Nil, 4911250
xi,Totals (Calculated as Sum of Values),"Rs 39,55,625
39 Lacs+","Rs 9,55,625
9 Lacs+",Nil,Nil,"Rs 1,00,000
1 Lacs+",Nil, 5011250
