SrNo,Description,Self,Spouse,HUF,Dependent1,Dependent2,Dependent3,TotalPrice
i,Cash,"8,00,000  8 Lacs+","50,000  50 Thou+",Nil,Nil,Nil,Nil, 850000
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","SBI Tirora Br Sb A/c
18,52,452  18 Lacs+

Axis Bank Ca A/c Gondia Br
42,42,276  42 Lacs+

Vidarbha kokan Gramin Bank Tirora Br Fd
7,41,820  7 Lacs+

Vidarbha kokan Gramin Bank Tirora Br Sb A/c
2,077  2 Thou+

BOM Tirora Br
8,200  8 Thou+

SBI Tirora Br FD
6,98,646  6 Lacs+","Vidarbha kokan Gramin Bank Tirora Br Sb A/c
2,000  2 Thou+

Union Bank Of India Nagpur Br
1,000  1 Thou+",Nil,"BOM Tirora Br Sb A/c
2,000  2 Thou+",Nil,Nil, 7550471
iii,"Bonds, Debentures and Shares in companies",Nil,Nil,Nil,Nil,Nil,Nil,0
iv,"(a)
NSS, Postal Savings etc",Nil,Nil,Nil,Nil,Nil,Nil,0
"(b)
LIC or other insurance Policies","Life Insurance
11,00,000  11 Lacs+

SBI Life
1,04,00,000  1 Crore+

Bajaj Life
5,00,000  5 Lacs+

Max Life
10,89,000  10 Lacs+",Nil,Nil,"Life Insurance
3,00,000  3 Lacs+",Nil,Nil,"Rs 1,33,89,000
1 Crore+",0
v,Personal loans/advance given,Nil,Nil,Nil,Nil,Nil,Nil,0
vi,"Motor Vehicles (details of make, etc.)","Duster MH35P5757 2013
19,93,538  19 Lacs+

Royal Bullet MH35AZ5757 2014
1,50,000  1 Lacs+

JCB MH31CV3581 2009
19,70,000  19 Lacs+

JCB MH35G5171 2012
22,00,000  22 Lacs+

JCB MH35K4346 2011
20,00,000  20 Lacs+

FORTUNER MH35AB5757 2015
24,25,492  24 Lacs+",Nil,Nil,Nil,Nil,Nil, 10739030
vii,Jewellery (give details weight value),"10 TOLA GOLD
4,00,000  4 Lacs+","20 TOLA GOLD
8,00,000  8 Lacs+

5KG SILVER
4,00,000  4 Lacs+",Nil,Nil,Nil,Nil, 1600000
viii,"Other assets, such as values of claims / interests",Nil,Nil,Nil,Nil,Nil,Nil,0
x,Gross Total Value (as per Affidavit),"3,25,73,501  3 Crore+","12,53,000  12 Lacs+",Nil,"3,02,000  3 Lacs+",Nil,Nil, 34128501
xi,Totals (Calculated as Sum of Values),"Rs 3,25,73,501
3 Crore+","Rs 12,53,000
12 Lacs+",Nil,"Rs 3,02,000
3 Lacs+",Nil,Nil, 34128501
