SrNo,Description,Self,Spouse,HUF,Dependent1,Dependent2,Dependent3,TotalPrice
i,Loans from Banks / FIs,"BOM
11,75,014  11 Lacs+

BOM
2,51,38,878  2 Crore+

Shree Mahavir Sah Bank
1,12,92,763  1 Crore+","BOM
69,62,563  69 Lacs+",Nil,Nil,Nil,Nil, 44569218
ii,Loans due to Individual / Entity,"Ashtavinayak enterprises
50,00,000  50 Lacs+

Shree Karan Balasaheb Pawar
65,00,000  65 Lacs+

Nathu Rokade
30,00,000  30 Lacs+

Sai Marketings
35,00,000  35 Lacs+

Sudhakar Bhavsar
49,00,000  49 Lacs+",Nil,Nil,Nil,Nil,Nil, 22900000
iii,Any other Liability,"32,15,000  32 Lacs+",Nil,Nil,Nil,Nil,Nil, 3215000
iv,Grand Total of Liabilities (as per affidavit),"6,37,21,655  6 Crore+","69,62,533  69 Lacs+",Nil,Nil,Nil,Nil, 70684188
v,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,0
vi,Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,0
vii,Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,0
viii,Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,0
ix,Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,0
x,Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xi,Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xii,Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xiii,Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xiv,Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xv,GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xvi,Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xvii,Grand Total of all Govt Dues (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,0
xviii,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,0
xix,Totals (Calculated as Sum of Values),"Rs 6,37,21,655
6 Crore+","Rs 69,62,563
69 Lacs+",Nil,Nil,Nil,Nil, 70684218
