SrNo,Description,Self,Spouse,HUF,Dependent1,Dependent2,Dependent3,TotalPrice
i,Loans from Banks / FIs,"SBI Car Loan
4,96,373  4 Lacs+",Nil,Nil,Nil,Nil,Nil, 496373
ii,Loans due to Individual / Entity,"R Rana Land Developers And Builders
40,45,000  40 Lacs+

S Shethi
20,00,000  20 Lacs+","Lakhvindersingh
35,00,000  35 Lacs+

Madhuri Patle
5,00,000  5 Lacs+

Premjit Patle
10,00,000  10 Lacs+

Sahana Properties And Resort Pvt Ltd
2,50,00,000  2 Crore+

Transcan Developers Pvt Ltd
1,50,00,000  1 Crore+

Sahana Builders & Developers Pvt Ltd
1,70,00,000  1 Crore+

Vikas Kejrival
24,75,000  24 Lacs+

S Shethi
70,00,000  70 Lacs+",Nil,Nil,Nil,Nil, 77520000
iii,Any other Liability,Nil,Nil,Nil,Nil,Nil,Nil,0
iv,Grand Total of Liabilities (as per affidavit),"65,41,373  65 Lacs+","7,14,75,000  7 Crore+",Nil,Nil,Nil,Nil, 78016373
v,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,0
vi,Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,0
vii,Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,0
viii,Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,0
ix,Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,0
x,Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xi,Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xii,Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xiii,Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xiv,Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xv,GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xvi,Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xvii,Grand Total of all Govt Dues (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,0
xviii,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,0
xix,Totals (Calculated as Sum of Values),"Rs 65,41,373
65 Lacs+","Rs 7,14,75,000
7 Crore+",Nil,Nil,Nil,Nil, 78016373
