SrNo,Description,Self,Spouse,HUF,Dependent1,Dependent2,Dependent3,TotalPrice
i,Loans from Banks / FIs,"Shriram Finance
9,00,000  9 Lacs+","Home Loan Punjab National Bank
1,28,24,155  1 Crore+",Nil,Nil,Nil,Nil, 13724155
ii,Loans due to Individual / Entity,"Sunita Dhatre (Sister)
15,00,000  15 Lacs+","Vidya Vijay Sunbhe
25,00,000  25 Lacs+

Momin Hasan
2,50,000  2 Lacs+

Mahesh Choughule
16,70,000  16 Lacs+",Nil,Nil,Nil,Nil, 5920000
iii,Any other Liability,"5,96,540  5 Lacs+","11,71,240  11 Lacs+",Nil,Nil,Nil,Nil, 1767780
iv,Grand Total of Liabilities (as per affidavit),"29,96,540  29 Lacs+","1,84,15,395  1 Crore+",Nil,Nil,Nil,Nil, 21411935
v,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,0
vi,Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,0
vii,Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,0
viii,Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,0
ix,Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,0
x,Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xi,Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xii,Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xiii,Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xiv,Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xv,GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xvi,Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xvii,Grand Total of all Govt Dues (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,0
xviii,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,0
xix,Totals (Calculated as Sum of Values),"Rs 29,96,540
29 Lacs+","Rs 1,84,15,395
1 Crore+",Nil,Nil,Nil,Nil, 21411935
