SrNo,Description,Self,Spouse,HUF,Dependent1,Dependent2,Dependent3,TotalPrice
i,Loans from Banks / FIs,"Rahu Vividh Karyakari Crop Loan
2,99,000  2 Lacs+

SBI Car Loan
11,34,827  11 Lacs+

HDFC Home Loan
44,04,114  44 Lacs+","Rahu Vividh Karyakari Crop Loan
2,99,000  2 Lacs+

SBI Car Loan
2,22,672  2 Lacs+",Nil,Nil,Nil,Nil, 6359613
ii,Loans due to Individual / Entity,Nil,"Sadhna Nitin Kalbhor
4,00,000  4 Lacs+

Purva Nitin Kalbhor
6,00,000  6 Lacs+

Kimaya Enterprises
1,00,000  1 Lacs+

Pranav Nitin Kalbhor
7,00,000  7 Lacs+

Saraswati Ganpat Kalbhor
10,00,000  10 Lacs+",Nil,Nil,Nil,Nil, 2800000
iii,Any other Liability,Nil,Nil,Nil,Nil,Nil,Nil,0
iv,Grand Total of Liabilities (as per affidavit),"58,37,941  58 Lacs+","33,21,672  33 Lacs+",Nil,Nil,Nil,Nil, 9159613
v,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,0
vi,Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,0
vii,Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,0
viii,Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,0
ix,Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,0
x,Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xi,Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xii,Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xiii,Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xiv,Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xv,GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xvi,Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xvii,Grand Total of all Govt Dues (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,0
xviii,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,0
xix,Totals (Calculated as Sum of Values),"Rs 58,37,941
58 Lacs+","Rs 33,21,672
33 Lacs+",Nil,Nil,Nil,Nil, 9159613
