
i,Cash,"45,000  45 Thou+","30,000  30 Thou+",Nil,Nil,Nil,Nil,"Rs 75,000
75 Thou+"
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","SBI Branch-Bhandara
9,723  9 Thou+

Axis Bank Branch-Bhandara
3,812  3 Thou+

ICICI Bank Branch-Bhandara
1","SBI Branch-Bhandara
7,581  7 Thou+

Axis Bank, Branch-Bhandara
1,13,176  1 Lacs+",Nil,Nil,Nil,Nil,"Rs 1,34,293
1 Lacs+"
iii,"Bonds, Debentures and Shares in companies",Nil,Nil,Nil,Nil,Nil,Nil,Nil
iv,"(a)
NSS, Postal Savings etc",Nil,Nil,Nil,Nil,Nil,Nil,Nil
"(b)
LIC or other insurance Policies","Policy No.975359271
65,494  65 Thou+

Policy No.975359272
62,114  62 Thou+

Policy No.975359273
58,968  58 Thou+

975359274
56,106  56 Thou+

Policy No.975359275
53,534  53 Thou+

Policy No.975359276
50,700  50 Thou+

Policy No.912645712
1,26,146  1 Lacs+","Policy No.976424649
2,80,808  2 Lacs+

Policy No.979734919
3,44,080  3 Lacs+",Nil,Nil,Nil,Nil,"Rs 10,97,950
10 Lacs+"
v,Personal loans/advance given,Nil,Nil,Nil,Nil,Nil,Nil,Nil
vi,"Motor Vehicles (details of make, etc.)","Skoda lawra MH 36 H 0011 Date 1-12-2010
12,99,997  12 Lacs+","TATA Safari MH 36Q. 0101 Date.20-07-2013
10,97,004  10 Lacs+

Scooty Pep MH 36D 2672 Date.03-04-2007
34,333  34 Thou+",Nil,Nil,Nil,Nil,"Rs 24,31,334
24 Lacs+"
vii,Jewellery (give details weight value),"Gold 45.5gm
1,74,947  1 Lacs+","Gold 140gm
5,38,230  5 Lacs+

Silver 45gm
2,164  2 Thou+",Nil,Nil,Nil,Nil,"Rs 7,15,341
7 Lacs+"
viii,"Other assets, such as values of claims / interests",Nil,Nil,Nil,Nil,Nil,Nil,Nil
Gross Total Value (as per Affidavit),"20,06,597  20 Lacs+","24,47,376  24 Lacs+",Nil,Nil,Nil,Nil,"Rs 44,53,973
44 Lacs+"
Totals (Calculated as Sum of Values),"Rs 20,06,542
20 Lacs+","Rs 24,47,376
24 Lacs+",Nil,Nil,Nil,Nil,"Rs 44,53,918
44 Lacs+"
