
i,Cash,"2,00,000  2 Lacs+","1,00,000  1 Lacs+",Nil,Nil,Nil,Nil,"Rs 3,00,000
3 Lacs+"
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","28,39,491  28 Lacs+","1,04,275  1 Lacs+",Nil,10,Nil,Nil,"Rs 29,43,776
29 Lacs+"
iii,"Bonds, Debentures and Shares in companies","7,59,368  7 Lacs+",Nil,Nil,Nil,"1,60,000  1 Lacs+",Nil,"Rs 9,19,368
9 Lacs+"
iv,"(a)
NSS, Postal Savings etc","11,75,000  11 Lacs+","7,50,000  7 Lacs+

1,11,000  1 Lacs+",Nil,"6,00,000  6 Lacs+","1,50,000  1 Lacs+",Nil,"Rs 27,86,000
27 Lacs+"
"(b)
LIC or other insurance Policies",Nil,Nil,Nil,Nil,Nil,Nil,Nil
v,Personal loans/advance given,"35,57,925  35 Lacs+","26,20,000  26 Lacs+",Nil,Nil,Nil,Nil,"Rs 61,77,925
61 Lacs+"
vi,"Motor Vehicles (details of make, etc.)",Nil,Nil,Nil,Nil,Nil,Nil,Nil
vii,Jewellery (give details weight value),"300 gram
10,00,000  10 Lacs+","400 gms
13,00,000  13 Lacs+",Nil,"100 gms
3,00,000  3 Lacs+","100 gram
3,00,000  3 Lacs+",Nil,"Rs 29,00,000
29 Lacs+"
viii,"Other assets, such as values of claims / interests","12,98,256  12 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 12,98,256
12 Lacs+"
Gross Total Value (as per Affidavit),"1,08,30,040  1 Crore+","49,85,275  49 Lacs+",Nil,"9,00,010  9 Lacs+","6,10,000  6 Lacs+",Nil,"Rs 1,73,25,325
1 Crore+"
Totals (Calculated as Sum of Values),"Rs 1,08,30,040
1 Crore+","Rs 49,85,275
49 Lacs+",Nil,"Rs 9,00,010
9 Lacs+","Rs 6,10,000
6 Lacs+",Nil,"Rs 1,73,25,325
1 Crore+"
