SrNo,Description,Self,Spouse,HUF,Dependent1,Dependent2,Dependent3,TotalPrice
i,Cash,"16,50,200  16 Lacs+","6,80,900  6 Lacs+",Nil,"35,790  35 Thou+","2,20,400  2 Lacs+",Nil, 2587290
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","SBI Bank
24,899.05  24 Thou+

SBI Bank
718  7 Hund+

Bank of Baroda
5,843.35  5 Thou+

J.M.C.Bank
3,590  3 Thou+

JMFC Bank
2,190  2 Thou+

JPC Bank
878.44  8 Hund+

Omprakash Devada Pepoles Co-Op Bank
1,307.23  1 Thou+

Omprakash Devada Peopales Co-Operative Bank
1,219  1 Thou+

J.D.C.C.Bank
9,256  9 Thou+

Sundarlal Savaji Arban Co-Op Bank Ltd
1,251.03  1 Thou+

HDFC Bank,
6,130.76  6 Thou+

Shri Padmashali nagari Co-Op Bank
128  1 Hund+

Bank Of Maharashtra
49,882  49 Thou+","Sundarlal Savarji arban co-Op Bank Ltd
1,066  1 Thou+

HDFC Bank
3,043.55  3 Thou+

SBI Bank
8,769.50  8 Thou+

Shri padmshali Nagari Co-Op Bank
140  1 Hund+

Bank of maharashtra,
50,000  50 Thou+","J.P.C.Bank
1,978  1 Thou+","SBI Bank
4,992.09  4 Thou+

HDFC Bank
3,000  3 Thou+

Monjhho Bank
129.10  1 Hund+

Barclies Bank
590.05  5 Hund+

Bank Of Maharashtra
49,882  49 Thou+","J.D.C.C.Bank
15,241  15 Thou+

Bank of india
15,187.44  15 Thou+",Nil, 261311.59
iii,"Bonds, Debentures and Shares in companies","Bank of India 100 Shares
6,295  6 Thou+

J.P.C.Bank
1,000  1 Thou+

Reliance Industries Ltd 160 shares
2,09,600  2 Lacs+

Reliance Power Ltd 10 Shares
24  

Reliance energy ltd 03 Shares
0  

Reliance Capital Ltd 02 Shares
56  

Reliance Home Finance Ltd 02 Shares
8  

L & T Ltd 325 Shares
6,24,550  6 Lacs+

Altra tech Ciment Ltd -20 Shares
87,900  87 Thou+

panshendra Society 1 shares
200  2 Hund+

Shree Padmashali Co-Op Bank -1 Shares
1,000  1 Thou+

JMC Bank -40 Shares
1,000  1 Thou+

UTI Mid Cap Funds Units-1311.213
60,884  60 Thou+","Shree padmashali Co-Op Bank-1 shares
1,000  1 Thou+",Nil,"UTI Technology Units-2125848
23,400  23 Thou+",Nil,Nil, 1016917
iv,"(a)
NSS, Postal Savings etc",Nil,Nil,Nil,Nil,Nil,Nil,0
"(b)
LIC or other insurance Policies","LIC ,India policies
2,83,500  2 Lacs+

LIC ,India policies
1,46,100  1 Lacs+

LIC ,India policies
1,14,600  1 Lacs+","LIC ,India policies
81,000  81 Thou+",Nil,"LIC ,India policies
3,03,800  3 Lacs+

LIC ,India policies
5,88,000  5 Lacs+",Nil,Nil,"Rs 15,17,000
15 Lacs+",0
v,Personal loans/advance given,Nil,Nil,Nil,Nil,Nil,Nil,0
vi,"Motor Vehicles (details of make, etc.)","I-20 CAR,Hundai Company
7,64,333  7 Lacs+

Activa,Honda Company 2 Wheeler
52,086  52 Thou+","Plaser,Hero Company 2 Wheeler
36,225  36 Thou+",Nil,Nil,Nil,Nil, 852644
vii,Jewellery (give details weight value),"Gold Jewellery-35 Tola
12,95,000  12 Lacs+",Nil,"Gold Jewellery-05 tola
1,85,000  1 Lacs+",Nil,Nil,Nil, 1480000
viii,"Other assets, such as values of claims / interests",Nil,Nil,Nil,Nil,Nil,Nil,0
x,Gross Total Value (as per Affidavit),"49,50,628.86  49 Lacs+","21,57,144.05  21 Lacs+","1,978  1 Thou+","11,94,583.24  11 Lacs+","2,50,828.44  2 Lacs+",Nil, 8555162.59
xi,Totals (Calculated as Sum of Values),"Rs 54,05,628.86
54 Lacs+","Rs 8,62,144.05
8 Lacs+","Rs 1,86,978
1 Lacs+","Rs 10,09,583.24
10 Lacs+","Rs 2,50,828.44
2 Lacs+",Nil, 7715162.59
