SrNo,Description,Self,Spouse,HUF,Dependent1,Dependent2,Dependent3,TotalPrice
i,Cash,"2,20,000  2 Lacs+",Nil,Nil,Nil,Nil,Nil, 220000
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","SBI
5,707  5 Thou+

SBI
2,463  2 Thou+

SBI
6,504  6 Thou+

SBI
12,713  12 Thou+

IDBI
10,000  10 Thou+",Nil,Nil,"IDBI Bank
12,000  12 Thou+",Nil,Nil, 49387
iii,"Bonds, Debentures and Shares in companies",Nil,Nil,Nil,Nil,Nil,Nil,0
iv,"(a)
NSS, Postal Savings etc",Nil,Nil,Nil,Nil,Nil,Nil,0
"(b)
LIC or other insurance Policies",Nil,Nil,Nil,Nil,Nil,Nil,Nil,0
v,Personal loans/advance given,"Anabhausathe Fooundation
2,00,000  2 Lacs+",Nil,Nil,Nil,Nil,Nil, 200000
vi,"Motor Vehicles (details of make, etc.)","Tata Safari VX MH26B6999
17,00,000  17 Lacs+",Nil,Nil,Nil,Nil,Nil, 1700000
vii,Jewellery (give details weight value),Nil,"2 Tola Gold
60,000  60 Thou+",Nil,Nil,Nil,Nil, 60000
viii,"Other assets, such as values of claims / interests",Nil,Nil,Nil,Nil,Nil,Nil,0
x,Gross Total Value (as per Affidavit),"21,57,387  21 Lacs+","60,000  60 Thou+",Nil,"12,000  12 Thou+",Nil,Nil, 2229387
xi,Totals (Calculated as Sum of Values),"Rs 21,57,387
21 Lacs+","Rs 60,000
60 Thou+",Nil,"Rs 12,000
12 Thou+",Nil,Nil, 2229387
