SrNo,Description,Self,Spouse,HUF,Dependent1,Dependent2,Dependent3,TotalPrice
i,Cash,"51,200  51 Thou+","29,310  29 Thou+","31,540  31 Thou+",Nil,Nil,Nil, 112050
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","38,18,834  38 Lacs+

Dr.Manibhai Co-Op Soc. Term Deposits
5,01,316  5 Lacs+

Chatrapati Co-Op Sugar Factory Bhawaninagar
33,56,710  33 Lacs+

karmyogi S.P.Co-op. Sugar Factory
11,23,189  11 Lacs+

baramati Co-op Bank
32,86,806  32 Lacs+

Pidimimi Bank
22,64,650  22 Lacs+","Bank
2,29,430  2 Lacs+

Dr. Manibhai Desai Co-Op Society
5,01,316  5 Lacs+

Chatrapati Co-Op sugar Factory ,bhawaninagar
21,35,284  21 Lacs+

karmyogi S.P.CO-OP Sugar Factory
17,27,599  17 Lacs+

baramati Co-op Bank
17,22,659  17 Lacs+

PDCC Bank
22,64,650  22 Lacs+

RMM Deposits
50,00,000  50 Lacs+","Bank
1,975  1 Thou+",Nil,Nil,Nil, 27934418
iii,"Bonds, Debentures and Shares in companies","Shares- Chatrapati Co-Op Sugar Factory ,Bhawaninagar
1,70,000  1 Lacs+

karmyogi S.P.CO-OP Sugar Factory
30,000  30 Thou+

Sonai Farm Factory
25,000  25 Thou+

Shrinivas Soc.
20,000  20 Thou+

Bhranewadi Soc.
1,710  1 Thou+

Baramati Co-op Cloth Factory Ltd.
500  5 Hund+

baramati Textstyle Park
1,00,000  1 Lacs+

Bhagwanrao Agro and Farming Pvt.Ltd
50,000  50 Thou+

Capital -Hotel Delbahar
4,22,491  4 Lacs+

Capital- Bhrane Auto Motiv
10,90,043  10 Lacs+

Capital-Bhrane Autolian
40,95,512  40 Lacs+

Capital -Bhrane Motors
10,000  10 Thou+

Capital -May Bhrane Petroliam
60,73,924  60 Lacs+

Sparkal Garment
15,000  15 Thou+

Chembal Fartilijer
30,000  30 Thou+

Jhuhari Agro Cemical
100  1 Hund+

Ajit Nagari Co-Op Bank
500  5 Hund+

Janta Co-Op Bank
31,500  31 Thou+

baramati Co-Op Bank
3,500  3 Thou+

The Ratnakar Bank
19,65,500  19 Lacs+

Sparkal Garment
17,50,000  17 Lacs+

Capital -Forscure
1,10,00,000  1 Crore+

Shree Datta Krupa CHS Ltd
5,00,000  5 Lacs+","Chatrapati Co-Op Sugar Factory,Bhawaninagar
1,40,000  1 Lacs+

Karmyogi S.P.CO-Sugar Factory,Indapur
37,907  37 Thou+

Bhranewadi Society
10  

Rex Instant and Bivrej Pvt Ltd
5,00,000  5 Lacs+

Shrinivas Society
17,560  17 Thou+

Bhagwanrao Agro and farming pvt.Ltd
50,000  50 Thou+

Girjai Agro And Farming Pvt.Ltd
50,000  50 Thou+",Nil,Nil,Nil,Nil, 28180757
iv,"(a)
NSS, Postal Savings etc",Nil,Nil,Nil,Nil,Nil,Nil,0
"(b)
LIC or other insurance Policies","ICICI I PRODI.Pollicy
16,07,294  16 Lacs+

LIC
67,85,873  67 Lacs+

NJC Welth
13,42,140  13 Lacs+

Agon Riligiar LIC
17,56,644  17 Lacs+

Birlasunlife Policy
14,43,431  14 Lacs+

Mutuchual Fund
23,64,808  23 Lacs+

IIFL Fund
1,05,92,448  1 Crore+","ICICI Prodi Policy
18,31,668  18 Lacs+

NJ Welth
4,83,425  4 Lacs+

Mutuchual Fund
10,99,436  10 Lacs+

Bajaj Alians Policy
5,00,000  5 Lacs+",Nil,Nil,Nil,Nil,"Rs 2,98,07,167
2 Crore+",0
v,Personal loans/advance given,Nil,Nil,Nil,Nil,Nil,Nil,0
vi,"Motor Vehicles (details of make, etc.)","Geep
2,00,000  2 Lacs+

Tractor
3,85,082  3 Lacs+

Pulsor
20,000  20 Thou+

Tractor
3,00,000  3 Lacs+

Fortuine
35,00,000  35 Lacs+",Nil,Nil,Nil,Nil,Nil, 4405082
vii,Jewellery (give details weight value),"Gold-10 Tola
5,70,000  5 Lacs+","Gold 35 Tola
13,30,000  13 Lacs+",Nil,Nil,Nil,Nil, 1900000
viii,"Other assets, such as values of claims / interests",Nil,Nil,Nil,Nil,Nil,Nil,0
x,Gross Total Value (as per Affidavit),"7,26,55,706  7 Crore+","1,96,50,255  1 Crore+","33,515  33 Thou+",Nil,Nil,Nil, 92339476
xi,Totals (Calculated as Sum of Values),"Rs 7,26,55,705
7 Crore+","Rs 1,96,50,254
1 Crore+","Rs 33,515
33 Thou+",Nil,Nil,Nil, 92339474
