SrNo,Description,Self,Spouse,HUF,Dependent1,Dependent2,Dependent3,TotalPrice
i,Cash,"8,25,300  8 Lacs+",Nil,Nil,Nil,Nil,Nil, 825300
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","BOI
19,00,942  19 Lacs+

UBI Hingoli
41,737  41 Thou+",Nil,Nil,Nil,Nil,Nil, 1942679
iii,"Bonds, Debentures and Shares in companies",Nil,Nil,Nil,Nil,Nil,Nil,0
iv,"(a)
NSS, Postal Savings etc",Nil,Nil,Nil,Nil,Nil,Nil,0
"(b)
LIC or other insurance Policies","LIC
6,36,867  6 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 6,36,867
6 Lacs+",0
v,Personal loans/advance given,Nil,Nil,Nil,Nil,Nil,Nil,0
vi,"Motor Vehicles (details of make, etc.)","MH38-9010
6,00,000  6 Lacs+",Nil,Nil,Nil,Nil,Nil, 600000
vii,Jewellery (give details weight value),"30 Gm
1,11,000  1 Lacs+","70 Gm
2,59,000  2 Lacs+",Nil,Nil,Nil,Nil, 370000
viii,"Other assets, such as values of claims / interests",Nil,Nil,Nil,Nil,Nil,Nil,0
x,Gross Total Value (as per Affidavit),"41,15,846  41 Lacs+","2,59,000  2 Lacs+",Nil,Nil,Nil,Nil, 4374846
xi,Totals (Calculated as Sum of Values),"Rs 41,15,846
41 Lacs+","Rs 2,59,000
2 Lacs+",Nil,Nil,Nil,Nil, 4374846
