SrNo,Description,Self,Spouse,HUF,Dependent1,Dependent2,Dependent3,TotalPrice
i,Cash,"3,00,000  3 Lacs+","5,553  5 Thou+","75,000  75 Thou+",Nil,Nil,Nil, 380553
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","Rajluxmi Arban Bank Vakilwadi
3,20,000  3 Lacs+

N.D.C.C Bank Ltd Devla
70,236  70 Thou+

N.D.C.C Bank Ltd Khamkheda (Devla)
31,408  31 Thou+

BOM Nashik
0  

BOM Nashik
6,89,410  6 Lacs+

State Bank of India Nashik
6,11,512  6 Lacs+

BOM Shahar Shakha FDR
6,00,000  6 Lacs+

BOM Shahar Shakha FDR
1,00,000  1 Lacs+

BOM Shahar Shakha FDR
60,000  60 Thou+

Rajluxmi Arban Bank Gangapur Rd
59,000  59 Thou+

Rajluxmi Arban Bank Vakilwadi FDR
2,00,000  2 Lacs+","Rajluxmi Arban Bank Vakilwadi
1,28,000  1 Lacs+

N.D.C.C Bank Ltd Devla
3,641  3 Thou+

BOM Nashik
2,32,152  2 Lacs+","BOM HUF Kanada Kornar Nashik
10,696  10 Thou+

Rajluxmi Arban Bank Gangapur Rd
53,000  53 Thou+","Rajluxmi Arban Bank Gangapur
3,500  3 Thou+",Nil,Nil, 3172555
iii,"Bonds, Debentures and Shares in companies","Vinvik Resort Pvt Ltd
5,00,000  5 Lacs+

Sahyadri Seva Helthcare Pvt Ltd
43,28,150  43 Lacs+

Nashik Life Scan Pvt Ltd
61,000  61 Thou+

Nahik Life Scan Pvt Ltd
25,000  25 Thou+

Vasantrao Dada Patil Sah. Sakhar Karkhana Tal. Devla
5,000  5 Thou+

Rajluxmi Bank Shares
1,10,000  1 Lacs+

Shatabdhi Hospital Pvt Ltd
50,000  50 Thou+","Vasantrao Dada Patil Sah. Sakhar Karkhana Tal. Devla
5,000  5 Thou+

Rajluxmi Bank Shares
2,300  2 Thou+

Raghu Fero casting Pvt Ltd
50,000  50 Thou+

Star Medical Pvt Ltd
8,13,030  8 Lacs+",Nil,Nil,Nil,Nil, 5949480
iv,"(a)
NSS, Postal Savings etc",Nil,Nil,Nil,Nil,Nil,Nil,0
"(b)
LIC or other insurance Policies","Aditya Birla Son Life Tax Relife Fund
1,40,000  1 Lacs+

HDFC Fund Policie
60,000  60 Thou+

HDFC Tax Saver Policies
45,000  45 Thou+

Axis Log Term Mutual Fund
80,000  80 Thou+","LIC
5,00,000  5 Lacs+

LIC
2,00,000  2 Lacs+

Aditya Birla Son Life Tax Relife Fund
2,30,000  2 Lacs+

HDFC Tax Saver Policies
2,15,000  2 Lacs+

Franklin India Tax Shild Police
2,35,000  2 Lacs+","D.S.P Tax Saver Fund Police
1,60,000  1 Lacs+

L.D.T. Tax Advantage Fund Police
1,15,000  1 Lacs+

D.S.P Tax Saver Fund
30,000  30 Thou+

HDFC Log Term Advantage Fund
55,000  55 Thou+",Nil,Nil,Nil,"Rs 20,65,000
20 Lacs+",0
v,Personal loans/advance given,"Aato James Pro. Pra
1,85,15,007  1 Crore+

Paramount Developers
6,00,000  6 Lacs+

Shri Associate Nashik
6,70,875  6 Lacs+",Nil,Nil,Nil,Nil,Nil, 19785882
vi,"Motor Vehicles (details of make, etc.)","Honda City
8,59,852  8 Lacs+

Toyota Enova
14,15,190  14 Lacs+

Toyota Enova
23,00,000  23 Lacs+",Nil,Nil,Nil,Nil,Nil, 4575042
vii,Jewellery (give details weight value),"Gold 150 gm
5,61,000  5 Lacs+","Gold 200 gm
7,48,000  7 Lacs+",Nil,Nil,Nil,Nil, 1309000
viii,"Other assets, such as values of claims / interests",Nil,Nil,Nil,Nil,Nil,Nil,0
x,Gross Total Value (as per Affidavit),"3,33,67,640  3 Crore+","33,67,676  33 Lacs+","4,98,696  4 Lacs+","3,500  3 Thou+",Nil,Nil, 37237512
xi,Totals (Calculated as Sum of Values),"Rs 3,33,67,640
3 Crore+","Rs 33,67,676
33 Lacs+","Rs 4,98,696
4 Lacs+","Rs 3,500
3 Thou+",Nil,Nil, 37237512
