SrNo,Description,Self,Spouse,HUF,Dependent1,Dependent2,Dependent3,TotalPrice
i,Cash,"33,755  33 Thou+","3,69,110  3 Lacs+",Nil,"22,700  22 Thou+",Nil,Nil, 425565
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","SBI Latur
6,66,874  6 Lacs+

Janta Sah Bank Pune
54,330  54 Thou+","SBI Latur
64,277  64 Thou+

Axis Bank
3,41,104  3 Lacs+

Kulswamini NPSM
1,60,000  1 Lacs+

Kulswamini NPSM
6,500  6 Thou+",Nil,"BOI Pune
7,82,688  7 Lacs+",Nil,Nil, 2075773
iii,"Bonds, Debentures and Shares in companies","Janta Sah Bank 52450
3,000  3 Thou+

Solapur Janta Bank 48191
3,000  3 Thou+

Yashvant Nagari Bank 994
1,000  1 Thou+

Kulswamini NPSM 03
1,000  1 Thou+",Nil,Nil,Nil,Nil,Nil, 8000
iv,"(a)
NSS, Postal Savings etc","PPF SBI Latur
8,33,994  8 Lacs+","PPF SBI Latur
1,78,777  1 Lacs+",Nil,Nil,Nil,Nil, 1012771
"(b)
LIC or other insurance Policies","LIC 982395818
30,090  30 Thou+

LIC 984158518
1,74,750  1 Lacs+

LIC 981862388
71,000  71 Thou+

LIC 985810868
2,65,788  2 Lacs+

SBI Life Insurance 45003567401
1,37,168  1 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 6,78,796
6 Lacs+",0
v,Personal loans/advance given,Nil,Nil,Nil,Nil,Nil,Nil,0
vi,"Motor Vehicles (details of make, etc.)","CBZ Motor Cycle MH24Q5510
42,199  42 Thou+

Honda Activa MH24AH9020
56,257  56 Thou+",Nil,Nil,Nil,Nil,Nil, 98456
vii,Jewellery (give details weight value),"255 Gram Gold
5,58,253  5 Lacs+","4.25 Tola Gold
1,62,834  1 Lacs+",Nil,Nil,Nil,Nil, 721087
viii,"Other assets, such as values of claims / interests",Nil,Nil,Nil,Nil,Nil,Nil,0
x,Gross Total Value (as per Affidavit),"29,32,458  29 Lacs+","12,82,604  12 Lacs+",Nil,"8,05,388  8 Lacs+",Nil,Nil, 5020450
xi,Totals (Calculated as Sum of Values),"Rs 29,32,458
29 Lacs+","Rs 12,82,602
12 Lacs+",Nil,"Rs 8,05,388
8 Lacs+",Nil,Nil, 5020448
