SrNo,Description,Self,Spouse,HUF,Dependent1,Dependent2,Dependent3,TotalPrice
i,Cash,"30,240  30 Thou+","5,000  5 Thou+",Nil,Nil,Nil,Nil, 35240
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","saving account-Bank of india
488  4 Hund+","Saving account- Bank of india
13,854  13 Thou+

maharashtra Bank
500  5 Hund+",Nil,Nil,Nil,Nil, 14842
iii,"Bonds, Debentures and Shares in companies",Nil,Nil,Nil,Nil,Nil,Nil,0
iv,"(a)
NSS, Postal Savings etc",Nil,"postal saving
1,000  1 Thou+",Nil,Nil,Nil,Nil, 1000
"(b)
LIC or other insurance Policies",Nil,Nil,Nil,Nil,Nil,Nil,Nil,0
v,Personal loans/advance given,Nil,Nil,Nil,Nil,Nil,Nil,0
vi,"Motor Vehicles (details of make, etc.)",Nil,Nil,Nil,Nil,Nil,Nil,0
vii,Jewellery (give details weight value),Nil,Nil,Nil,Nil,Nil,Nil,0
viii,"Other assets, such as values of claims / interests",Nil,Nil,Nil,Nil,Nil,Nil,0
x,Gross Total Value (as per Affidavit),"30,728  30 Thou+","20,354  20 Thou+",Nil,Nil,Nil,Nil, 51082
xi,Totals (Calculated as Sum of Values),"Rs 30,728
30 Thou+","Rs 20,354
20 Thou+",Nil,Nil,Nil,Nil, 51082
