SrNo,Description,Self,Spouse,HUF,Dependent1,Dependent2,Dependent3,TotalPrice
i,Cash,"24,545  24 Thou+","18,923  18 Thou+",Nil,Nil,Nil,Nil, 43468
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","State Bank Of India
1,07,366  1 Lacs+

Bank Of India
6,678  6 Thou+

Akola Janata Commercial Co Op Bank
45,296  45 Thou+

State Bank Of India
9,94,968  9 Lacs+

Anand Vastra Bhandar
70,207  70 Thou+

Akola Urban Co Op Bank
18,712  18 Thou+

Akole Wholesale Cloth Cum Hsg Soc Ltd
10,000  10 Thou+

Akola Urban Co Op Bank
1,381  1 Thou+","Akola Janata Commercial Co Op Bank
746  7 Hund+

State Bank Of India PPF
3,37,041  3 Lacs+",Nil,Nil,Nil,Nil, 1592395
iii,"Bonds, Debentures and Shares in companies","Morgan Stand By Growth Fund
15,000  15 Thou+

Agrasen Nagari Co Op Bank
2,000  2 Thou+

Berar Peoples Urban Co Op Society
1,000  1 Thou+

Akola Urban Co Op Bank
7,650  7 Thou+

Central India Consumers Co Op Society Ltd
5,000  5 Thou+

National Steel
150  1 Hund+

Akl Wholesale Cloth Market Cum Hsg Society Ltd
2,500  2 Thou+

The Akola Janata Comm Co Op Bank
1,000  1 Thou+

Peoples Co Op Society
1,000  1 Thou+

Navkeshti Prakashan
1,000  1 Thou+

Vidabha Paper Mill
125  1 Hund+

Century Enka Ltd
950  9 Hund+","Central India Consumers Co Op Society Ltd
5,000  5 Thou+

Agrasen Nagari Co Op Bank
1,000  1 Thou+",Nil,Nil,Nil,Nil, 43375
iv,"(a)
NSS, Postal Savings etc",Nil,Nil,Nil,Nil,Nil,Nil,0
"(b)
LIC or other insurance Policies",Nil,"LIC
1,00,000  1 Lacs+",Nil,Nil,Nil,Nil,"Rs 1,00,000
1 Lacs+",0
v,Personal loans/advance given,"Anand Readymade
27,08,392  27 Lacs+

Paras Construction
10,00,000  10 Lacs+

Sagar Shyamsundar Khandelwal
1,78,000  1 Lacs+

Ayush Collection Nadura
9,313  9 Thou+

Agrawal Cloth Stores
1,53,177  1 Lacs+

Amol Medical And Gen Stores
15,230  15 Thou+

Anant Kapad Kendra
1,253  1 Thou+

Arihant Cloth Sotres
9,245  9 Thou+

Arvind Rangnath Jain
1,43,614  1 Lacs+

Baa Collection
1,66,692  1 Lacs+

Bahubali Saree & Readymade
50,314  50 Thou+

Bhadke Brothers
37,939  37 Thou+

Borkar Collection
55,463  55 Thou+

Borkar Stores
24,282  24 Thou+

Chandmal Javaharma Jian
80,449  80 Thou+

Dande Cloth Sotres
3,26,764  3 Lacs+

Deepa Dresses
4,905  4 Thou+

Deepak Kapad Dukan
83,927  83 Thou+

Devda Brothers
67,490  67 Thou+

Dinesh Sari Center
52,446  52 Thou+

Girdhar Motiral Saraf
26,706  26 Thou+

Gitanjali Cloth Stores
800  8 Hund+

Gopal Sadi Center
10,94,344  10 Lacs+

Gorakhpurwala
91,236  91 Thou+

Gurudev Collection
59,308  59 Thou+

Gurumauli Kapad Dukan
94,202  94 Thou+

Harish Vastralaya
93,846  93 Thou+

Jain Collection
2,61,048  2 Lacs+

Jain Sons
23,619  23 Thou+

Janta Kapad Kendra
3,645  3 Thou+

Jay Siyaram Kapad
2,93,408  2 Lacs+

Lalitkumar Jugalkishor Agrawal
1,58,612  1 Lacs+

Madhur Cloth Sotres
18,992  18 Thou+

Mahaveer Collection
85,581  85 Thou+

Mahaveer Dresses
1,04,070  1 Lacs+

Maniklal Amritlal
9,937  9 Thou+

Manpasand Collection
85,033  85 Thou+

Mayur Collection
9,890  9 Thou+

Mayuresh Kapad Kendra
36,382  36 Thou+

Minal Cloth Sotre
34,733  34 Thou+

Nandanvan Bhavya Kapad Mehakar
6,641  6 Thou+

Narayanrao Gvhankar
4,400  4 Thou+

Nathmal Pusaram Sharma Bansi
10,000  10 Thou+

New Samrat Saries
65,008  65 Thou+

New Vaibhav Sari Center
44,765  44 Thou+

Nilesh Dresses
19,688  19 Thou+

Om Cloth Stores
52,120  52 Thou+

Pari Collection
51,897  51 Thou+

Parivarthan Cloth Stores HIVARKHED
5,691  5 Thou+

Pooja Fashion Center
19,937  19 Thou+

Pragati Kapad Kendra
85,551  85 Thou+

Pushpanjali Sari Center
6,117  6 Thou+

Radhakrushna Collection
1,44,430  1 Lacs+

Rajashree Fashion Center
3,89,180  3 Lacs+

Rajesh Sari Center
14,978  14 Thou+

Rajesh Sari Dept
12,914  12 Thou+

Rajgharana Kapad Kendra
1,78,906  1 Lacs+

Rajgharna Fashion And Sari Center
1,55,528  1 Lacs+

Rajlaxmi Kapad Dukan
18,559  18 Thou+

Rajlaxmi Sari Center
61,580  61 Thou+

Rashmi Sari Center
9,564  9 Thou+

Rathi Cloth Stores
21,302  21 Thou+

Ridhi Sidhi Saris
1,88,446  1 Lacs+

Roopsangam Garments
7,586  7 Thou+

Samrat Collection Risod
1,90,255  1 Lacs+

Sandeep Wankhade
29,564  29 Thou+

Sangliwala Fashion PVT Ltd
28,072  28 Thou+

Sanjay Kapad Kendra Dongaon
37,538  37 Thou+

Sanskruti Sari Collection
29,681  29 Thou+

Sanskruti Selection
1,48,277  1 Lacs+

Santosh Cloth Sotre
1,13,960  1 Lacs+

Santosh Cloth Sotre
5,96,850  5 Lacs+

Satyam Fashion Center
11,697  11 Thou+

Shah Tribhuvandas Kanji Bhai
87,251  87 Thou+

Sharma Emporium
5,38,267  5 Lacs+

Shivani Vastralaya
63,052  63 Thou+

Shivani Vastra;aya
16,296  16 Thou+

Shree Garment
5,306  5 Thou+

Shri Collection And Saries
1,08,950  1 Lacs+

Shubhamangal Kapad Kendra
37,684  37 Thou+

Sudarshan Jain Cloth Sotres
21,486  21 Thou+

Suvidha Kapad Kendra
50,951  50 Thou+

Suvidha Kapad Kendra
1,02,251  1 Lacs+

Suvidha Kapad Kendra
5,66,627  5 Lacs+

Swastik Cloth Center
7,95,935  7 Lacs+

Trimurti Mens Waer
3,780  3 Thou+

Vaibhav Collection
1,156  1 Thou+

Yusufali Mansab Ali
14,792  14 Thou+

Omprakash Bhagwandas
18,170  18 Thou+","Anand Vastra Bhandar
37,15,353  37 Lacs+","Anand Vastra Bhandar
12,01,677  12 Lacs+",Nil,Nil,Nil, 17863953
vi,"Motor Vehicles (details of make, etc.)","Maruti CIEZ MH30AT1771
10,29,044  10 Lacs+",Nil,Nil,Nil,Nil,Nil, 1029044
vii,Jewellery (give details weight value),"110.25 Gram Gold
4,18,950  4 Lacs+

1.350 Gram Silver
52,650  52 Thou+","15 Gram Gold
5,700  5 Thou+",Nil,Nil,Nil,Nil, 477300
viii,"Other assets, such as values of claims / interests",Nil,Nil,Nil,Nil,Nil,Nil,0
x,Gross Total Value (as per Affidavit),"1,57,65,097  1 Crore+","41,83,763  41 Lacs+","12,01,677  12 Lacs+",Nil,Nil,Nil, 21150537
xi,Totals (Calculated as Sum of Values),"Rs 1,57,64,095
1 Crore+","Rs 41,83,763
41 Lacs+","Rs 12,01,677
12 Lacs+",Nil,Nil,Nil, 21149535
