SrNo,Description,Self,Spouse,HUF,Dependent1,Dependent2,Dependent3,TotalPrice
i,Cash,"3,00,000  3 Lacs+","2,00,000  2 Lacs+",Nil,Nil,Nil,Nil, 500000
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","SBI Saving
2,84,404  2 Lacs+

SBI Saving
10,226  10 Thou+

SBI Nariman Point
2,130  2 Thou+

ADCC Bank Belora
48,217  48 Thou+

Abhinandan Bank
455  4 Hund+","SBI
5,32,679  5 Lacs+

BOM Purna
2,20,816  2 Lacs+

SBI FD
4,00,000  4 Lacs+",Nil,Nil,Nil,Nil, 1498927
iii,"Bonds, Debentures and Shares in companies","Prahar International Food Pvt Ltd 40000x10
4,00,000  4 Lacs+",Nil,Nil,Nil,Nil,Nil, 400000
iv,"(a)
NSS, Postal Savings etc",Nil,Nil,Nil,Nil,Nil,Nil,0
"(b)
LIC or other insurance Policies","LIC 823270421
2,00,000  2 Lacs+","LIC 822765246
2,00,000  2 Lacs+

LIC 824155498
5,00,000  5 Lacs+

Bharti AXA Life Policy
10,00,000  10 Lacs+",Nil,Nil,Nil,Nil,"Rs 19,00,000
19 Lacs+",0
v,Personal loans/advance given,"Saptarshri Star Agro LLP, Mumbai (Percentage of Share 14.28)
50,000  50 Thou+",Nil,Nil,Nil,Nil,Nil, 50000
vi,"Motor Vehicles (details of make, etc.)","Ambulance MH27C5708 2005
3,10,000  3 Lacs+

Toyato INNOVA No.MH27BV4779, Year-2017
13,80,852  13 Lacs+",Nil,Nil,Nil,Nil,Nil, 1690852
vii,Jewellery (give details weight value),"25
95,000  95 Thou+","200
7,60,000  7 Lacs+",Nil,Nil,Nil,Nil, 855000
viii,"Other assets, such as values of claims / interests",Nil,Nil,Nil,Nil,Nil,Nil,0
x,Gross Total Value (as per Affidavit),"30,81,284  30 Lacs+","38,13,495  38 Lacs+",Nil,Nil,Nil,Nil, 6894779
xi,Totals (Calculated as Sum of Values),"Rs 30,81,284
30 Lacs+","Rs 38,13,495
38 Lacs+",Nil,Nil,Nil,Nil, 6894779
