SrNo,Description,Self,Spouse,HUF,Dependent1,Dependent2,Dependent3,TotalPrice
i,Cash,"27,90,715  27 Lacs+","7,76,679  7 Lacs+",Nil,Nil,Nil,Nil, 3567394
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","State bank of india
7,90,632  7 Lacs+

state bank of india gadhchiloli
13,172  13 Thou+

axis bank
38,23,432  38 Lacs+

dena bank
13,331  13 Thou+

Kanyaka nagri sahkari bank
2,32,682  2 Lacs+

gadhchiroli co op bank
80,620  80 Thou+

uco bank
17,568  17 Thou+

Bank of baroda
15,000  15 Thou+

Vijay nagri sahkari pat sanstha
5,00,000  5 Lacs+

gurudev gramin bigarseti sah.pat sanstha
1,39,246  1 Lacs+

pawan gramin bigarseti sah pat sanstha
1,50,000  1 Lacs+

shree mahalaxmi gramin bigar seti sahkari pat
1,00,000  1 Lacs+

Term deposit
7,94,396  7 Lacs+

State bank of india
91,276  91 Thou+","State bank of india
22,286  22 Thou+

state bank of india
7,745  7 Thou+

Axis bank
1,30,460  1 Lacs+

dena bank
40,700  40 Thou+

Shree kanyaka nagri pat sanstha
4,032  4 Thou+

Gadhchiroli co op bank
12,402  12 Thou+

Dharampeth mahila co op society
10,001  10 Thou+

gurudev gramin bigar setki sah pat sanstha
7,47,499  7 Lacs+

shree mahalaxmi gramin bigar seti sahkari pat sanstha
1,00,000  1 Lacs+",Nil,"Axis bank
40,008  40 Thou+

dena bank
13,697  13 Thou+

shree kanyaka nagri sahkari pat sanstha
57,373  57 Thou+

gadhchroli co op bank
14,133  14 Thou+","State bank of india
1,424  1 Thou+

Axis bank
2,136  2 Thou+

shree kanyaka nagri sahkari pat sanstha
1,08,774  1 Lacs+","state bank of india
6,855  6 Thou+

Axis bank
29,468  29 Thou+", 8110348
iii,"Bonds, Debentures and Shares in companies","Deposit
4,250  4 Thou+

Vardan hospital
1,76,50,000  1 Crore+

shivani sarvo
24,96,958  24 Lacs+

vijaykiran management
10,000  10 Thou+","shares m.v. infra. project private ltd.
1,94,400  1 Lacs+

shres devyani trade link
1,73,150  1 Lacs+

shares nagpur market
1,45,350  1 Lacs+

vardan hospital
1,75,00,000  1 Crore+

others
2,15,300  2 Lacs+

ambatkar hospital
2,23,95,000  2 Crore+",Nil,"shree ram transport
1,00,000  1 Lacs+","shree ram transport
1,00,000  1 Lacs+",Nil, 60984408
iv,"(a)
NSS, Postal Savings etc",Nil,Nil,Nil,Nil,Nil,Nil,0
"(b)
LIC or other insurance Policies","LIC policy
1,59,56,400  1 Crore+

ICICI prudential
79,40,000  79 Lacs+

Max life insurance
15,00,000  15 Lacs+","ICICI PRUDENTIAL
84,58,000  84 Lacs+

MAX LIFE INSURANCE
55,45,115  55 Lacs+

IDLAVIS TOKYO
4,05,934  4 Lacs+",Nil,Nil,Nil,Nil,"Rs 3,98,05,449
3 Crore+",0
v,Personal loans/advance given,"NILAM RACHALVAR
2,00,000  2 Lacs+

R.R. CONSTRUCTION
5,00,000  5 Lacs+

OM SAI ENTERPRIZES
36,50,000  36 Lacs+

NAGPUR MAERCANTILE PRIVATE LTD
1,00,000  1 Lacs+

NARENDRA RAJE
3,75,000  3 Lacs+

KIRAN WEDDTIWAR
30,90,258  30 Lacs+

DEVYANI TRADE LINK
5,00,000  5 Lacs+

M.V. INFRA.PROJECTS
4,00,000  4 Lacs+

PANKAJ PAWAR
2,00,000  2 Lacs+

SANDHYA JAIN
1,50,000  1 Lacs+

BHAVESH SANGHANI
3,05,000  3 Lacs+","AKASH BHAUDESIYA SANSTHA
5,00,000  5 Lacs+

BHIMRAO TAWRI
5,00,000  5 Lacs+

DIVISION STATE LTD.
80,00,000  80 Lacs+

DEVYANI INTERNATIONAL SACHOOL
1,50,000  1 Lacs+

ISMILE TIMBER MART PLOT ADVANCE
30,00,000  30 Lacs+

KESARSINGH RAUTLE
2,00,000  2 Lacs+

MANISH BOMANVAR
6,00,000  6 Lacs+

MIRZHA NEW FARM
20,00,000  20 Lacs+

NILAMRAGHLWAR
30,00,000  30 Lacs+

RAJLAXMI BREVAREGES
55,525  55 Thou+

PANKAJ PASPULWAR
10,00,000  10 Lacs+

PRAMOD PUNYAPAWAR
10,00,000  10 Lacs+

R.R. CONTRUCTION
47,40,000  47 Lacs+

RAJNISH TRADERS
10,00,000  10 Lacs+

SHARAD AMBIKA POWER PLANT
30,25,000  30 Lacs+

SATYA BIO POWER PLANT
2,525  2 Thou+

SHREE SAI PETROLIUM
5,00,000  5 Lacs+

OMSAI ENTERPRIZES
1,17,00,000  1 Crore+

SHIVANI TRADING
70,00,000  70 Lacs+

SINDHEVAHI PLOT
11,00,000  11 Lacs+

SHIDDHESH CONSTRUCTION
50,00,000  50 Lacs+

VIVEK VARETVAR
2,00,000  2 Lacs+

VIPUL SAHU
1,00,000  1 Lacs+

AYUSH COMMODITIES
1,025  1 Thou+

NAGPUR MAECANTILE
85,000  85 Thou+",Nil,Nil,Nil,Nil, 63929333
vi,"Motor Vehicles (details of make, etc.)","TOYOTA INNOVA
24,32,323  24 Lacs+

MARUTI CAR AMBULANCE
2,28,000  2 Lacs+

MARUTI CAR AMBULANCE
2,28,000  2 Lacs+","HONDA Z CAR
8,67,000  8 Lacs+

TOYOTA FORTUNER
39,98,477  39 Lacs+

MOTOR CYCLE
48,000  48 Thou+

MATOR CYCLE
46,000  46 Thou+",Nil,Nil,Nil,Nil, 7847800
vii,Jewellery (give details weight value),"GOLD 290 GRAMS
9,20,000  9 Lacs+

9 CARRAT PUKHRAJ
4,40,000  4 Lacs+","242 GRAMS GOLD
7,30,000  7 Lacs+

DIAMOND BANGDI
1,30,000  1 Lacs+

DIAMOND NECKLACE
2,10,000  2 Lacs+

DIAMOND RING
40,000  40 Thou+",Nil,"20 GRAMS GOLD
56,000  56 Thou+","10 GRAMS GOLD
28,000  28 Thou+","10 GRAMS GOLD
1,80,000  1 Lacs+", 2734000
viii,"Other assets, such as values of claims / interests",Nil,Nil,Nil,Nil,Nil,Nil,0
x,Gross Total Value (as per Affidavit),"6,88,28,262  6 Crore+","11,74,12,606  11 Crore+",Nil,"2,81,512  2 Lacs+","2,40,335  2 Lacs+","2,16,323  2 Lacs+", 186979038
xi,Totals (Calculated as Sum of Values),"Rs 6,88,28,259
6 Crore+","Rs 11,74,12,605
11 Crore+",Nil,"Rs 2,81,211
2 Lacs+","Rs 2,40,334
2 Lacs+","Rs 2,16,323
2 Lacs+", 186978732
